mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-13 20:17:47,3,1
,T_0_Done,2023-09-13 20:17:52,3,1
,T_2_Busy,2023-09-13 20:18:04,0,1
,T_2_Done,2023-09-13 20:18:09,0,1
,T_2_ocupied,2023-09-13 20:18:09,0,1
,T_2_waiting,2023-09-13 20:18:09,0,1
,T_6_ocupied,2023-09-13 20:18:24,2,1
,T_6_waiting,2023-09-13 20:18:24,2,1
,T_1_ocupied,2023-09-13 20:18:30,3,1
,T_1_waiting,2023-09-13 20:18:30,3,1
,T_1_busy,2023-09-13 20:18:30,3,1
,T_2_busy,2023-09-13 20:18:30,0,1
,T_6_busy,2023-09-13 20:18:30,2,1
,T_1_done,2023-09-13 20:18:35,3,1
,T_2_done,2023-09-13 20:18:35,0,1
,T_6_done,2023-09-13 20:18:35,2,1
