case_id;activity;time
mision53;TA_enter;2023-02-23 00:03:11
mision53;TA_task1;2023-02-23 00:04:00
mision53;TB_enter;2023-02-23 00:07:01
mision53;TB_task2;2023-02-23 00:07:50
mision53;TC_enter;2023-02-23 00:09:04
mision53;TC_task3;2023-02-23 00:09:53
mision53;TD_enter;2023-02-23 00:11:10
mision53;TD_task4;2023-02-23 00:11:59
mision53;TE_enter;2023-02-23 00:13:43
mision53;TE_task5;2023-02-23 00:14:32
mision53;TF_enter;2023-02-23 00:16:33
mision53;TF_task6;2023-02-23 00:17:22
mision53;TG_enter;2023-02-23 00:20:14
mision53;TG_task7;2023-02-23 00:21:03
mision53;TH_enter;2023-02-23 00:21:26
mision53;TH_task8;2023-02-23 00:22:15
mision53;T1-TH_task9;2023-02-23 00:22:32
