case_id;activity;time
1;TB_enter;1970-01-01 00:00:00.000000111
1;TB_task2;1970-01-01 00:00:00.000000160
1;TA_enter;1970-01-01 00:00:00.000000182
1;TA_task1;1970-01-01 00:00:00.000000231
1;TA_task3;1970-01-01 00:00:00.000000247
1;TB_task3;1970-01-01 00:00:00.000000247
1;TC_enter;1970-01-01 00:00:00.000000320
1;TC_task1;1970-01-01 00:00:00.000000369
1;TD_enter;1970-01-01 00:00:00.000001486
1;TD_task2;1970-01-01 00:00:00.000001535
1;TC_task3;1970-01-01 00:00:00.000001551
1;TD_task3;1970-01-01 00:00:00.000001551
1;TF_enter;1970-01-01 00:00:00.000001695
1;TF_task2;1970-01-01 00:00:00.000001744
1;TE_enter;1970-01-01 00:00:00.000001752
1;TE_task1;1970-01-01 00:00:00.000001801
1;TE_task3;1970-01-01 00:00:00.000001817
1;TF_task3;1970-01-01 00:00:00.000001817
1;TG_enter;1970-01-01 00:00:00.000001922
1;TG_task1;1970-01-01 00:00:00.000001971
1;TH_enter;1970-01-01 00:00:00.000001991
1;TH_task2;1970-01-01 00:00:00.000002040
1;TG_task3;1970-01-01 00:00:00.000002056
1;TH_task3;1970-01-01 00:00:00.000002056
1;TG_task4;1970-01-01 00:00:00.000002058
1;TH_task4;1970-01-01 00:00:00.000002058
1;TB_enter;1970-01-01 00:00:00.000000103
1;TB_task2;1970-01-01 00:00:00.000000152
1;TA_enter;1970-01-01 00:00:00.000000187
1;TA_task1;1970-01-01 00:00:00.000000236
1;TA_task3;1970-01-01 00:00:00.000000253
1;TB_task3;1970-01-01 00:00:00.000000253
1;TC_enter;1970-01-01 00:00:00.000000303
1;TC_task1;1970-01-01 00:00:00.000000352
1;TD_enter;1970-01-01 00:00:00.000000867
1;TD_task2;1970-01-01 00:00:00.000000916
1;TC_task3;1970-01-01 00:00:00.000000932
1;TD_task3;1970-01-01 00:00:00.000000932
1;TF_enter;1970-01-01 00:00:00.000001077
1;TE_enter;1970-01-01 00:00:00.000001123
1;TF_task2;1970-01-01 00:00:00.000001126
1;TE_task1;1970-01-01 00:00:00.000001172
1;TE_task3;1970-01-01 00:00:00.000001189
1;TF_task3;1970-01-01 00:00:00.000001189
1;TG_enter;1970-01-01 00:00:00.000001343
1;TH_enter;1970-01-01 00:00:00.000001359
1;TG_task1;1970-01-01 00:00:00.000001392
1;TH_task2;1970-01-01 00:00:00.000001408
1;TG_task3;1970-01-01 00:00:00.000001424
1;TH_task3;1970-01-01 00:00:00.000001424
1;TG_task4;1970-01-01 00:00:00.000001426
1;TH_task4;1970-01-01 00:00:00.000001426
1;TB_enter;1970-01-01 00:00:00.000000267
1;TA_enter;1970-01-01 00:00:00.000000280
1;TB_task2;1970-01-01 00:00:00.000000316
1;TA_task1;1970-01-01 00:00:00.000000329
1;TA_task3;1970-01-01 00:00:00.000000345
1;TB_task3;1970-01-01 00:00:00.000000345
1;TC_enter;1970-01-01 00:00:00.000000438
1;TC_task1;1970-01-01 00:00:00.000000487
1;TD_enter;1970-01-01 00:00:00.000000793
1;TD_task2;1970-01-01 00:00:00.000000842
1;TC_task3;1970-01-01 00:00:00.000000859
1;TD_task3;1970-01-01 00:00:00.000000859
1;TF_enter;1970-01-01 00:00:00.000000992
1;TE_enter;1970-01-01 00:00:00.000001002
1;TF_task2;1970-01-01 00:00:00.000001041
1;TE_task1;1970-01-01 00:00:00.000001051
1;TE_task3;1970-01-01 00:00:00.000001068
1;TF_task3;1970-01-01 00:00:00.000001068
1;TG_enter;1970-01-01 00:00:00.000001258
1;TH_enter;1970-01-01 00:00:00.000001293
1;TG_task1;1970-01-01 00:00:00.000001307
1;TH_task2;1970-01-01 00:00:00.000001342
1;TG_task3;1970-01-01 00:00:00.000001359
1;TH_task3;1970-01-01 00:00:00.000001359
1;TG_task4;1970-01-01 00:00:00.000001360
1;TH_task4;1970-01-01 00:00:00.000001360
1;TB_enter;1970-01-01 00:00:00.000000072
1;TB_task2;1970-01-01 00:00:00.000000121
1;TA_enter;1970-01-01 00:00:00.000000206
1;TA_task1;1970-01-01 00:00:00.000000255
1;TA_task3;1970-01-01 00:00:00.000000271
1;TB_task3;1970-01-01 00:00:00.000000271
1;TC_enter;1970-01-01 00:00:00.000000355
1;TC_task1;1970-01-01 00:00:00.000000404
1;TD_enter;1970-01-01 00:00:00.000000474
1;TD_task2;1970-01-01 00:00:00.000000523
1;TC_task3;1970-01-01 00:00:00.000000540
1;TD_task3;1970-01-01 00:00:00.000000540
1;TF_enter;1970-01-01 00:00:00.000000654
1;TF_task2;1970-01-01 00:00:00.000000703
1;TE_enter;1970-01-01 00:00:00.000000728
1;TE_task1;1970-01-01 00:00:00.000000777
1;TE_task3;1970-01-01 00:00:00.000000793
1;TF_task3;1970-01-01 00:00:00.000000793
1;TG_enter;1970-01-01 00:00:00.000000858
1;TG_task1;1970-01-01 00:00:00.000000907
1;TH_enter;1970-01-01 00:00:00.000000957
1;TH_task2;1970-01-01 00:00:00.000001006
1;TG_task3;1970-01-01 00:00:00.000001023
1;TH_task3;1970-01-01 00:00:00.000001023
1;TG_task4;1970-01-01 00:00:00.000001024
1;TH_task4;1970-01-01 00:00:00.000001024
1;TA_enter;1970-01-01 00:00:00.000000233
1;TA_task1;1970-01-01 00:00:00.000000282
1;TB_enter;1970-01-01 00:00:00.000000292
1;TB_task2;1970-01-01 00:00:00.000000341
1;TA_task3;1970-01-01 00:00:00.000000357
1;TB_task3;1970-01-01 00:00:00.000000357
1;TC_enter;1970-01-01 00:00:00.000000417
1;TC_task1;1970-01-01 00:00:00.000000466
1;TD_enter;1970-01-01 00:00:00.000000637
1;TD_task2;1970-01-01 00:00:00.000000686
1;TC_task3;1970-01-01 00:00:00.000000702
1;TD_task3;1970-01-01 00:00:00.000000702
1;TF_enter;1970-01-01 00:00:00.000000860
1;TF_task2;1970-01-01 00:00:00.000000909
1;TE_enter;1970-01-01 00:00:00.000001349
1;TE_task1;1970-01-01 00:00:00.000001398
1;TE_task3;1970-01-01 00:00:00.000001414
1;TF_task3;1970-01-01 00:00:00.000001414
1;TG_enter;1970-01-01 00:00:00.000001549
1;TH_enter;1970-01-01 00:00:00.000001583
1;TG_task1;1970-01-01 00:00:00.000001598
1;TH_task2;1970-01-01 00:00:00.000001632
1;TG_task3;1970-01-01 00:00:00.000001648
1;TH_task3;1970-01-01 00:00:00.000001648
1;TG_task4;1970-01-01 00:00:00.000001650
1;TH_task4;1970-01-01 00:00:00.000001650
1;TB_enter;1970-01-01 00:00:00.000000187
1;TA_enter;1970-01-01 00:00:00.000000197
1;TB_task2;1970-01-01 00:00:00.000000236
1;TA_task1;1970-01-01 00:00:00.000000246
1;TA_task3;1970-01-01 00:00:00.000000263
1;TB_task3;1970-01-01 00:00:00.000000263
1;TC_enter;1970-01-01 00:00:00.000000496
1;TC_task1;1970-01-01 00:00:00.000000545
1;TD_enter;1970-01-01 00:00:00.000000562
1;TD_task2;1970-01-01 00:00:00.000000611
1;TC_task3;1970-01-01 00:00:00.000000627
1;TD_task3;1970-01-01 00:00:00.000000627
1;TF_enter;1970-01-01 00:00:00.000000699
1;TF_task2;1970-01-01 00:00:00.000000748
1;TE_enter;1970-01-01 00:00:00.000000817
1;TE_task1;1970-01-01 00:00:00.000000866
1;TE_task3;1970-01-01 00:00:00.000000882
1;TF_task3;1970-01-01 00:00:00.000000882
1;TG_enter;1970-01-01 00:00:00.000000960
1;TG_task1;1970-01-01 00:00:00.000001009
1;TH_enter;1970-01-01 00:00:00.000001019
1;TH_task2;1970-01-01 00:00:00.000001068
1;TG_task3;1970-01-01 00:00:00.000001084
1;TH_task3;1970-01-01 00:00:00.000001084
1;TG_task4;1970-01-01 00:00:00.000001086
1;TH_task4;1970-01-01 00:00:00.000001086
1;TB_enter;1970-01-01 00:00:00.000000176
1;TB_task2;1970-01-01 00:00:00.000000225
1;TA_enter;1970-01-01 00:00:00.000000263
1;TA_task1;1970-01-01 00:00:00.000000312
1;TA_task3;1970-01-01 00:00:00.000000328
1;TB_task3;1970-01-01 00:00:00.000000328
1;TD_enter;1970-01-01 00:00:00.000000469
1;TD_task2;1970-01-01 00:00:00.000000518
1;TC_enter;1970-01-01 00:00:00.000000779
1;TC_task1;1970-01-01 00:00:00.000000828
1;TC_task3;1970-01-01 00:00:00.000000845
1;TD_task3;1970-01-01 00:00:00.000000845
1;TE_enter;1970-01-01 00:00:00.000001049
1;TE_task1;1970-01-01 00:00:00.000001098
1;TF_enter;1970-01-01 00:00:00.000001230
1;TF_task2;1970-01-01 00:00:00.000001279
1;TE_task3;1970-01-01 00:00:00.000001295
1;TF_task3;1970-01-01 00:00:00.000001295
1;TG_enter;1970-01-01 00:00:00.000001362
1;TG_task1;1970-01-01 00:00:00.000001411
1;TH_enter;1970-01-01 00:00:00.000001443
1;TH_task2;1970-01-01 00:00:00.000001492
1;TG_task3;1970-01-01 00:00:00.000001509
1;TH_task3;1970-01-01 00:00:00.000001509
1;TG_task4;1970-01-01 00:00:00.000001510
1;TH_task4;1970-01-01 00:00:00.000001510
1;TA_enter;1970-01-01 00:00:00.000000195
1;TA_task1;1970-01-01 00:00:00.000000244
1;TB_enter;1970-01-01 00:00:00.000000276
1;TB_task2;1970-01-01 00:00:00.000000325
1;TA_task3;1970-01-01 00:00:00.000000341
1;TB_task3;1970-01-01 00:00:00.000000341
1;TD_enter;1970-01-01 00:00:00.000000445
1;TD_task2;1970-01-01 00:00:00.000000494
1;TC_enter;1970-01-01 00:00:00.000000536
1;TC_task1;1970-01-01 00:00:00.000000585
1;TC_task3;1970-01-01 00:00:00.000000602
1;TD_task3;1970-01-01 00:00:00.000000602
1;TF_enter;1970-01-01 00:00:00.000000793
1;TF_task2;1970-01-01 00:00:00.000000842
1;TE_enter;1970-01-01 00:00:00.000001069
1;TE_task1;1970-01-01 00:00:00.000001118
1;TE_task3;1970-01-01 00:00:00.000001135
