case_id;activity;time
mision1;TA_enter;2023-01-01 00:04:43
mision1;TA_task1;2023-01-01 00:05:32
mision1;TB_enter;2023-01-01 00:06:25
mision1;TB_task2;2023-01-01 00:07:14
mision1;TA_task3;2023-01-01 00:07:31
mision1;TB_task3;2023-01-01 00:07:31
mision1;TC_enter;2023-01-01 00:08:22
mision1;TC_task1;2023-01-01 00:09:11
mision1;TD_enter;2023-01-01 00:09:37
mision1;TD_task2;2023-01-01 00:10:26
mision1;TC_task3;2023-01-01 00:10:43
mision1;TD_task3;2023-01-01 00:10:43
mision1;TF_enter;2023-01-01 00:13:09
mision1;TE_enter;2023-01-01 00:13:18
mision1;TF_task2;2023-01-01 00:13:58
mision1;TE_task1;2023-01-01 00:14:07
mision1;TE_task3;2023-01-01 00:14:23
mision1;TF_task3;2023-01-01 00:14:23
mision1;TG_enter;2023-01-01 00:16:45
mision1;TG_task1;2023-01-01 00:17:34
mision1;TH_enter;2023-01-01 00:25:59
mision1;TH_task2;2023-01-01 00:26:48
mision1;TG_task3;2023-01-01 00:27:04
mision1;TH_task3;2023-01-01 00:27:04
mision1;TG_task4;2023-01-01 00:27:06
mision1;TH_task4;2023-01-01 00:27:06
mision2;TB_enter;2023-01-02 00:02:05
mision2;TB_task2;2023-01-02 00:02:54
mision2;TA_enter;2023-01-02 00:05:07
mision2;TA_task1;2023-01-02 00:05:56
mision2;TA_task3;2023-01-02 00:06:13
mision2;TB_task3;2023-01-02 00:06:13
mision2;TC_enter;2023-01-02 00:08:03
mision2;TC_task1;2023-01-02 00:08:52
mision2;TD_enter;2023-01-02 00:09:21
mision2;TD_task2;2023-01-02 00:10:10
mision2;TC_task3;2023-01-02 00:10:27
mision2;TD_task3;2023-01-02 00:10:27
mision2;TE_enter;2023-01-02 00:12:55
mision2;TE_task1;2023-01-02 00:13:44
mision2;TF_enter;2023-01-02 00:17:01
mision2;TF_task2;2023-01-02 00:17:50
mision2;TE_task3;2023-01-02 00:18:07
mision2;TF_task3;2023-01-02 00:18:07
mision2;TG_enter;2023-01-02 00:20:26
mision2;TH_enter;2023-01-02 00:20:41
mision2;TG_task1;2023-01-02 00:21:15
mision2;TH_task2;2023-01-02 00:21:30
mision2;TG_task3;2023-01-02 00:21:47
mision2;TH_task3;2023-01-02 00:21:47
mision2;TG_task4;2023-01-02 00:21:48
mision2;TH_task4;2023-01-02 00:21:48
mision3;TA_enter;2023-01-03 00:03:15
mision3;TA_task1;2023-01-03 00:04:04
mision3;TB_enter;2023-01-03 00:04:37
mision3;TB_task2;2023-01-03 00:05:26
mision3;TA_task3;2023-01-03 00:05:43
mision3;TB_task3;2023-01-03 00:05:43
mision3;TD_enter;2023-01-03 00:07:56
mision3;TD_task2;2023-01-03 00:08:45
mision3;TC_enter;2023-01-03 00:08:55
mision3;TC_task1;2023-01-03 00:09:44
mision3;TC_task3;2023-01-03 00:10:01
mision3;TD_task3;2023-01-03 00:10:01
mision3;TF_enter;2023-01-03 00:12:36
mision3;TF_task2;2023-01-03 00:13:25
mision3;TE_enter;2023-01-03 00:16:20
mision3;TE_task1;2023-01-03 00:17:09
mision3;TE_task3;2023-01-03 00:17:25
mision3;TF_task3;2023-01-03 00:17:25
mision3;TG_enter;2023-01-03 00:18:15
mision3;TG_task1;2023-01-03 00:19:04
mision3;TH_enter;2023-01-03 00:20:09
mision3;TH_task2;2023-01-03 00:20:58
mision3;TG_task3;2023-01-03 00:21:15
mision3;TH_task3;2023-01-03 00:21:15
mision3;TG_task4;2023-01-03 00:21:16
mision3;TH_task4;2023-01-03 00:21:16
mision4;TB_enter;2023-01-04 00:03:13
mision4;TB_task2;2023-01-04 00:04:02
mision4;TA_enter;2023-01-04 00:04:28
mision4;TA_task1;2023-01-04 00:05:17
mision4;TA_task3;2023-01-04 00:05:33
mision4;TB_task3;2023-01-04 00:05:33
mision4;TC_enter;2023-01-04 00:07:29
mision4;TC_task1;2023-01-04 00:08:18
mision4;TD_enter;2023-01-04 00:08:32
mision4;TD_task2;2023-01-04 00:09:21
mision4;TC_task3;2023-01-04 00:09:38
mision4;TD_task3;2023-01-04 00:09:38
mision4;TF_enter;2023-01-04 00:11:09
mision4;TF_task2;2023-01-04 00:11:58
mision4;TE_enter;2023-01-04 00:27:16
mision4;TE_task1;2023-01-04 00:28:05
mision4;TE_task3;2023-01-04 00:28:21
mision4;TF_task3;2023-01-04 00:28:21
mision4;TG_enter;2023-01-04 00:30:59
mision4;TG_task1;2023-01-04 00:31:48
mision4;TH_enter;2023-01-04 00:44:38
mision4;TH_task2;2023-01-04 00:45:27
mision4;TG_task3;2023-01-04 00:45:44
mision4;TH_task3;2023-01-04 00:45:44
mision4;TG_task4;2023-01-04 00:45:45
mision4;TH_task4;2023-01-04 00:45:45
mision5;TA_enter;2023-01-05 00:03:13
mision5;TA_task1;2023-01-05 00:04:02
mision5;TB_enter;2023-01-05 00:04:28
mision5;TB_task2;2023-01-05 00:05:17
mision5;TA_task3;2023-01-05 00:05:34
mision5;TB_task3;2023-01-05 00:05:34
mision5;TC_enter;2023-01-05 00:06:22
mision5;TC_task1;2023-01-05 00:07:11
mision5;TD_enter;2023-01-05 00:08:00
mision5;TD_task2;2023-01-05 00:08:49
mision5;TC_task3;2023-01-05 00:09:06
mision5;TD_task3;2023-01-05 00:09:06
mision5;TE_enter;2023-01-05 00:11:22
mision5;TF_enter;2023-01-05 00:11:30
mision5;TE_task1;2023-01-05 00:12:11
mision5;TF_task2;2023-01-05 00:12:19
mision5;TE_task3;2023-01-05 00:12:36
mision5;TF_task3;2023-01-05 00:12:36
mision5;TH_enter;2023-01-05 00:14:07
mision5;TH_task2;2023-01-05 00:14:56
mision5;TG_enter;2023-01-05 00:15:51
mision5;TG_task1;2023-01-05 00:16:40
mision5;TG_task3;2023-01-05 00:16:56
mision5;TH_task3;2023-01-05 00:16:56
mision5;TG_task4;2023-01-05 00:16:58
mision5;TH_task4;2023-01-05 00:16:58
mision6;TA_enter;2023-01-06 00:02:59
mision6;TA_task1;2023-01-06 00:03:48
mision6;TB_enter;2023-01-06 00:04:20
mision6;TB_task2;2023-01-06 00:05:09
mision6;TA_task3;2023-01-06 00:05:26
mision6;TB_task3;2023-01-06 00:05:26
mision6;TD_enter;2023-01-06 00:07:02
mision6;TC_enter;2023-01-06 00:07:31
mision6;TD_task2;2023-01-06 00:07:51
mision6;TC_task1;2023-01-06 00:08:20
mision6;TC_task3;2023-01-06 00:08:36
mision6;TD_task3;2023-01-06 00:08:36
mision6;TF_enter;2023-01-06 00:09:40
mision6;TE_enter;2023-01-06 00:11:07
mision6;TE_task1;2023-01-06 00:11:56
mision6;TF_task2;2023-01-06 00:45:54
mision6;TE_task3;2023-01-06 00:46:10
mision6;TF_task3;2023-01-06 00:46:10
mision6;TG_enter;2023-01-06 00:48:35
mision6;TG_task1;2023-01-06 00:49:24
mision6;TH_enter;2023-01-06 00:52:20
mision6;TH_task2;2023-01-06 00:53:09
mision6;TG_task3;2023-01-06 00:53:25
mision6;TH_task3;2023-01-06 00:53:25
mision6;TG_task4;2023-01-06 00:53:27
mision6;TH_task4;2023-01-06 00:53:27
mision7;TB_enter;2023-01-07 00:03:45
mision7;TA_enter;2023-01-07 00:04:16
mision7;TB_task2;2023-01-07 00:04:34
mision7;TA_task1;2023-01-07 00:05:05
mision7;TA_task3;2023-01-07 00:05:22
mision7;TB_task3;2023-01-07 00:05:22
mision7;TC_enter;2023-01-07 00:09:21
mision7;TC_task1;2023-01-07 00:10:10
mision7;TD_enter;2023-01-07 00:17:01
mision7;TD_task2;2023-01-07 00:17:50
mision7;TC_task3;2023-01-07 00:18:06
mision7;TD_task3;2023-01-07 00:18:06
mision7;TF_enter;2023-01-07 00:20:28
mision7;TF_task2;2023-01-07 00:21:17
mision7;TE_enter;2023-01-07 00:27:10
mision7;TE_task1;2023-01-07 00:27:59
mision7;TE_task3;2023-01-07 00:28:16
mision7;TF_task3;2023-01-07 00:28:16
mision7;TG_enter;2023-01-07 00:29:48
mision7;TG_task1;2023-01-07 00:30:37
mision7;TH_enter;2023-01-07 00:30:53
mision7;TH_task2;2023-01-07 00:31:42
mision7;TG_task3;2023-01-07 00:31:58
mision7;TH_task3;2023-01-07 00:31:58
mision7;TG_task4;2023-01-07 00:32:00
