case_id;activity;time
mision17;T2_enter;2023-01-17 00:04:04
mision17;T2_task2;2023-01-17 00:04:53
mision17;T1_enter;2023-01-17 00:05:44
mision17;T1_task1;2023-01-17 00:06:33
mision17;T1_task3;2023-01-17 00:06:49
mision17;T2_task3;2023-01-17 00:06:49
mision17;T3_enter;2023-01-17 00:10:29
mision17;T3_task1;2023-01-17 00:11:18
mision17;T4_enter;2023-01-17 00:31:58
mision17;T4_task2;2023-01-17 00:32:47
mision17;T3_task3;2023-01-17 00:33:03
mision17;T4_task3;2023-01-17 00:33:03
mision17;T6_enter;2023-01-17 00:34:16
mision17;T6_task2;2023-01-17 00:35:05
mision17;T5_enter;2023-01-17 00:37:34
mision17;T5_task1;2023-01-17 00:38:23
mision17;T5_task3;2023-01-17 00:38:40
mision17;T6_task3;2023-01-17 00:38:40
mision17;T7_enter;2023-01-17 00:41:24
mision17;T7_task1;2023-01-17 00:42:13
mision17;T8_enter;2023-01-17 00:49:57
mision17;T8_task2;2023-01-17 00:50:46
mision17;T7_task3;2023-01-17 00:51:02
mision17;T8_task3;2023-01-17 00:51:02
mision17;T7_task4;2023-01-17 00:51:04
mision17;T8_task4;2023-01-17 00:51:04
