case_id;activity;time
1;TB_enter;1970-01-01 00:00:00.000000111
1;TB_task2;1970-01-01 00:00:00.000000160
1;TA_enter;1970-01-01 00:00:00.000000182
1;TA_task1;1970-01-01 00:00:00.000000231
1;TA_task3;1970-01-01 00:00:00.000000247
1;TB_task3;1970-01-01 00:00:00.000000247
1;TC_enter;1970-01-01 00:00:00.000000320
1;TC_task1;1970-01-01 00:00:00.000000369
1;TD_enter;1970-01-01 00:00:00.000001486
1;TD_task2;1970-01-01 00:00:00.000001535
1;TC_task3;1970-01-01 00:00:00.000001551
1;TD_task3;1970-01-01 00:00:00.000001551
1;TF_enter;1970-01-01 00:00:00.000001695
1;TF_task2;1970-01-01 00:00:00.000001744
1;TE_enter;1970-01-01 00:00:00.000001752
1;TE_task1;1970-01-01 00:00:00.000001801
1;TE_task3;1970-01-01 00:00:00.000001817
1;TF_task3;1970-01-01 00:00:00.000001817
1;TG_enter;1970-01-01 00:00:00.000001922
1;TG_task1;1970-01-01 00:00:00.000001971
1;TH_enter;1970-01-01 00:00:00.000001991
1;TH_task2;1970-01-01 00:00:00.000002040
1;TG_task3;1970-01-01 00:00:00.000002056
1;TH_task3;1970-01-01 00:00:00.000002056
1;TG_task4;1970-01-01 00:00:00.000002058
1;TH_task4;1970-01-01 00:00:00.000002058
