mision;activity;time;robot
;T_0Busy;2023-09-07 21:28:06;3
;T_0Done;2023-09-07 21:28:11;3
;T_1Busy;2023-09-07 21:28:30;2
;T_1Done;2023-09-07 21:28:35;2
;T_2ocupied;2023-09-07 21:28:39;4
;T_2waiting;2023-09-07 21:28:39;4
;T_3ocupied;2023-09-07 21:28:53;1
;T_3waiting;2023-09-07 21:28:53;1
;T_2done;2023-09-07 21:28:58;0
;T_3done;2023-09-07 21:28:58;0
;T_4Busy;2023-09-07 21:29:04;2
;T_4Done;2023-09-07 21:29:09;2
;T_5Busy;2023-09-07 21:29:16;3
;T_5Done;2023-09-07 21:29:20;3
;T_1ocupied;2023-09-07 21:29:35;3
;T_1waiting;2023-09-07 21:29:35;3
;T_0ocupied;2023-09-07 21:30:02;2
;T_0waiting;2023-09-07 21:30:02;2
;T_0done;2023-09-07 21:30:07;0
;T_1done;2023-09-07 21:30:07;0
