mision, action, DateTime, org:resource
, T_0_Busy, 2023-09-08 09:42:03, 4
, T_0_Done, 2023-09-08 09:42:08, 4
, T_1_Busy, 2023-09-08 09:42:12, 3
, T_1_Done, 2023-09-08 09:42:17, 3
, T_2_ocupied, 2023-09-08 09:42:34, 3
, T_2_waiting, 2023-09-08 09:42:34, 3
, T_3_ocupied, 2023-09-08 09:42:38, 4
, T_3_waiting, 2023-09-08 09:42:38, 4
, T_2_done, 2023-09-08 09:42:43, 0
, T_3_done, 2023-09-08 09:42:43, 0
, T_4_Busy, 2023-09-08 09:42:54, 0
, T_4_Done, 2023-09-08 09:42:59, 0
, T_5_Busy, 2023-09-08 09:43:23, 0
, T_5_Done, 2023-09-08 09:43:28, 0
, T_1_ocupied, 2023-09-08 09:43:37, 3
, T_1_waiting, 2023-09-08 09:43:37, 3
, T_0_ocupied, 2023-09-08 09:43:44, 0
, T_0_waiting, 2023-09-08 09:43:44, 0
, T_0_done, 2023-09-08 09:43:48, 0
, T_1_done, 2023-09-08 09:43:48, 0
