mision;activity;time;robot
mision 0;T_0Busy;2023-09-07 22:10:58;5
mision 0;T_0Done;2023-09-07 22:11:03;5
mision 0;T_1Busy;2023-09-07 22:11:19;1
mision 0;T_1Done;2023-09-07 22:11:24;1
mision 0;T_3ocupied;2023-09-07 22:11:32;0
mision 0;T_3waiting;2023-09-07 22:11:32;0
mision 0;T_2ocupied;2023-09-07 22:11:58;3
mision 0;T_2waiting;2023-09-07 22:11:58;3
mision 0;T_2done;2023-09-07 22:12:02;0
mision 0;T_3done;2023-09-07 22:12:02;0
mision 0;T_4Busy;2023-09-07 22:12:14;1
mision 0;T_4Done;2023-09-07 22:12:18;1
mision 0;T_5Busy;2023-09-07 22:12:36;5
mision 0;T_5Done;2023-09-07 22:12:41;5
mision 0;T_1ocupied;2023-09-07 22:12:48;0
mision 0;T_1waiting;2023-09-07 22:12:48;0
mision 0;T_0ocupied;2023-09-07 22:12:59;5
mision 0;T_0waiting;2023-09-07 22:12:59;5
mision 0;T_0done;2023-09-07 22:13:03;0
mision 0;T_1done;2023-09-07 22:13:03;0
mision 1;T_0Busy;2023-09-07 22:10:45;5
mision 1;T_0Done;2023-09-07 22:10:50;5
mision 1;T_1Busy;2023-09-07 22:11:03;1
mision 1;T_1Done;2023-09-07 22:11:08;1
mision 1;T_2ocupied;2023-09-07 22:11:12;0
mision 1;T_2waiting;2023-09-07 22:11:12;0
mision 1;T_3ocupied;2023-09-07 22:11:40;2
mision 1;T_3waiting;2023-09-07 22:11:40;2
mision 1;T_2done;2023-09-07 22:11:45;0
mision 1;T_3done;2023-09-07 22:11:45;0
mision 1;T_4Busy;2023-09-07 22:13:20;3
mision 1;T_4Done;2023-09-07 22:13:25;3
mision 1;T_5Busy;2023-09-07 22:13:37;1
mision 1;T_5Done;2023-09-07 22:13:42;1
mision 1;T_1ocupied;2023-09-07 22:13:47;0
mision 1;T_1waiting;2023-09-07 22:13:47;0
mision 1;T_0ocupied;2023-09-07 22:14:00;1
mision 1;T_0waiting;2023-09-07 22:14:00;1
mision 1;T_0done;2023-09-07 22:14:05;0
mision 1;T_1done;2023-09-07 22:14:05;0
mision 2;T_0Busy;2023-09-07 22:11:14;3
mision 2;T_0Done;2023-09-07 22:11:19;3
mision 2;T_1Busy;2023-09-07 22:11:34;5
mision 2;T_1Done;2023-09-07 22:11:39;5
mision 2;T_2ocupied;2023-09-07 22:11:58;4
mision 2;T_2waiting;2023-09-07 22:11:58;4
mision 2;T_3ocupied;2023-09-07 22:12:12;2
mision 2;T_3waiting;2023-09-07 22:12:12;2
mision 2;T_2done;2023-09-07 22:12:17;0
mision 2;T_3done;2023-09-07 22:12:17;0
mision 2;T_4Busy;2023-09-07 22:13:07;2
mision 2;T_4Done;2023-09-07 22:13:12;2
mision 2;T_5Busy;2023-09-07 22:13:23;0
mision 2;T_5Done;2023-09-07 22:13:28;0
mision 2;T_0ocupied;2023-09-07 22:13:47;2
mision 2;T_0waiting;2023-09-07 22:13:47;2
mision 2;T_1ocupied;2023-09-07 22:14:24;4
mision 2;T_1waiting;2023-09-07 22:14:24;4
mision 2;T_0done;2023-09-07 22:14:29;0
mision 2;T_1done;2023-09-07 22:14:29;0
mision 3;T_0Busy;2023-09-07 22:11:59;3
mision 3;T_0Done;2023-09-07 22:12:04;3
mision 3;T_1Busy;2023-09-07 22:12:44;5
mision 3;T_1Done;2023-09-07 22:12:49;5
mision 3;T_2ocupied;2023-09-07 22:12:56;3
mision 3;T_2waiting;2023-09-07 22:12:56;3
mision 3;T_3ocupied;2023-09-07 22:13:29;1
mision 3;T_3waiting;2023-09-07 22:13:29;1
mision 3;T_2done;2023-09-07 22:13:34;0
mision 3;T_3done;2023-09-07 22:13:34;0
