mision, action, DateTime, org:resource
, T_0_Busy, 2023-09-08 23:56:20, 3
, T_0_Done, 2023-09-08 23:56:25, 3
, T_1_Busy, 2023-09-08 23:56:30, 0
, T_1_Done, 2023-09-08 23:56:35, 0
, T_2_ocupied, 2023-09-08 23:56:41, 4
, T_2_waiting, 2023-09-08 23:56:41, 4
, T_3_ocupied, 2023-09-08 23:57:46, 0
, T_3_waiting, 2023-09-08 23:57:46, 0
, T_2_busy, 2023-09-08 23:57:46, 4
, T_3_busy, 2023-09-08 23:57:46, 0
, T_2_done, 2023-09-08 23:57:50, 4
, T_3_done, 2023-09-08 23:57:50, 0
, T_4_Busy, 2023-09-08 23:58:14, 0
, T_4_Done, 2023-09-08 23:58:19, 0
, T_5_Busy, 2023-09-08 23:58:38, 2
, T_5_Done, 2023-09-08 23:58:43, 2
, T_0_ocupied, 2023-09-08 23:58:50, 4
, T_0_waiting, 2023-09-08 23:58:50, 4
, T_1_ocupied, 2023-09-08 23:58:50, 0
, T_1_waiting, 2023-09-08 23:58:50, 0
, T_0_busy, 2023-09-08 23:58:50, 4
, T_1_busy, 2023-09-08 23:58:50, 0
, T_0_done, 2023-09-08 23:58:55, 4
, T_1_done, 2023-09-08 23:58:55, 0
