mision, action, DateTime, org:resource, randomSeed 
,T_21_ocupied,1900-01-00 00:00:00,4,1
,T_21_waiting,1900-01-00 00:00:00,4,1
,T_21_Busy,1900-01-00 00:00:00,4,1
,T_21_Done,1900-01-00 00:00:00,4,1
,T_2_Busy,1900-01-00 00:00:00,10,1
,T_2_Done,1900-01-00 00:00:00,10,1
,T_10_Busy,1900-01-00 00:00:00,3,1
,T_10_Done,1900-01-00 00:00:00,3,1
,T_11_Busy,1900-01-00 00:00:00,11,1
,T_11_Done,1900-01-00 00:00:00,11,1
,T_15_Busy,1900-01-00 00:00:00,8,1
,T_15_Done,1900-01-00 00:00:00,8,1
,T_17_Busy,1900-01-00 00:00:00,12,1
,T_17_Done,1900-01-00 00:00:00,12,1
,T_20_Busy,1900-01-00 00:00:00,1,1
,T_20_Done,1900-01-00 00:00:00,1,1
