mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-14 03:02:49,3,1
,T_0_Done,2023-09-14 03:02:54,3,1
,T_2_Busy,2023-09-14 03:03:06,0,1
,T_2_Done,2023-09-14 03:03:11,0,1
,T_3_Busy,2023-09-14 03:03:17,2,1
,T_3_Done,2023-09-14 03:03:22,2,1
,T_2_ocupied,2023-09-14 03:03:33,1,1
,T_2_waiting,2023-09-14 03:03:33,1,1
,T_1_ocupied,2023-09-14 03:03:44,4,1
,T_1_waiting,2023-09-14 03:03:44,4,1
,T_6_ocupied,2023-09-14 03:03:58,5,1
,T_6_waiting,2023-09-14 03:03:58,5,1
,T_1_Busy,2023-09-14 03:03:58,4,1
,T_2_Busy,2023-09-14 03:03:58,1,1
,T_6_Busy,2023-09-14 03:03:58,5,1
,T_1_done,2023-09-14 03:04:02,4,1
,T_2_done,2023-09-14 03:04:02,1,1
,T_6_done,2023-09-14 03:04:02,5,1
