mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-14 14:01:58,5,28
,T_0_Done,2023-09-14 14:02:03,5,28
,T_2_Busy,2023-09-14 14:02:19,4,28
,T_2_Done,2023-09-14 14:02:24,4,28
,T_3_Busy,2023-09-14 14:02:29,3,28
,T_3_Done,2023-09-14 14:02:34,3,28
,T_5_ocupied,2023-09-14 14:02:39,5,28
,T_5_waiting,2023-09-14 14:02:39,5,28
,T_6_ocupied,2023-09-14 14:02:51,3,28
,T_6_waiting,2023-09-14 14:02:51,3,28
,T_1_ocupied,2023-09-14 14:03:07,1,28
,T_1_waiting,2023-09-14 14:03:07,1,28
,T_1_Busy,2023-09-14 14:03:07,1,28
,T_5_Busy,2023-09-14 14:03:07,5,28
,T_6_Busy,2023-09-14 14:03:07,3,28
,T_1_Done,2023-09-14 14:03:12,1,28
,T_5_Done,2023-09-14 14:03:12,5,28
,T_6_Done,2023-09-14 14:03:12,3,28
