mision, action, DateTime, org:resource, randomSeed 
,T_5_Busy,2023-09-13 09:07:19,5,39
,T_5_Done,2023-09-13 09:07:23,5,39
,T_2_Busy,2023-09-13 09:07:37,0,39
,T_2_Done,2023-09-13 09:07:42,0,39
,T_2_ocupied,2023-09-13 09:07:42,0,39
,T_2_waiting,2023-09-13 09:07:42,0,39
,T_6_ocupied,2023-09-13 09:08:01,4,39
,T_6_waiting,2023-09-13 09:08:01,4,39
,T_1_ocupied,2023-09-13 09:08:06,5,39
,T_1_waiting,2023-09-13 09:08:06,5,39
,T_1_busy,2023-09-13 09:08:06,5,39
,T_2_busy,2023-09-13 09:08:06,0,39
,T_6_busy,2023-09-13 09:08:06,4,39
,T_1_done,2023-09-13 09:08:11,5,39
,T_2_done,2023-09-13 09:08:11,0,39
,T_6_done,2023-09-13 09:08:11,4,39
