mision, action, DateTime, org:resource, randomSeed 
mision 0,T_21_Busy,2023-09-16 17:21:34,10,50
mision 0,T_21_rebooting,2023-09-16 17:21:42,10,50
mision 0,time_out,2023-09-16 17:33:45,user,50
mision 0,time_out,2023-09-16 17:33:45,user,50
mision 0,time_out,2023-09-16 17:33:46,user,50
mision 0,time_out,2023-09-16 17:33:46,user,50
mision 1,T_21_Busy,2023-09-16 17:18:52,5,50
mision 1,T_21_rebooting,2023-09-16 17:19:00,5,50
mision 1,T_21_Busy,2023-09-16 17:19:12,6,50
mision 1,T_21_rebooting,2023-09-16 17:19:21,6,50
mision 1,T_21_Busy,2023-09-16 17:21:50,16,50
mision 1,T_21_rebooting,2023-09-16 17:21:58,16,50
mision 1,T_21_Busy,2023-09-16 17:22:44,8,50
mision 1,T_21_rebooting,2023-09-16 17:22:52,8,50
mision 1,T_21_Busy,2023-09-16 17:23:33,18,50
mision 1,T_21_rebooting,2023-09-16 17:23:41,18,50
mision 1,T_21_Busy,2023-09-16 17:24:50,8,50
mision 1,T_21_rebooting,2023-09-16 17:24:59,8,50
mision 1,T_21_Busy,2023-09-16 17:28:26,19,50
mision 1,T_21_rebooting,2023-09-16 17:28:34,19,50
mision 1,T_21_Busy,2023-09-16 17:29:09,16,50
mision 1,T_21_rebooting,2023-09-16 17:29:17,16,50
mision 1,T_21_Busy,2023-09-16 17:31:26,18,50
mision 1,T_21_rebooting,2023-09-16 17:31:34,18,50
mision 1,T_21_Busy,2023-09-16 17:31:43,18,50
mision 1,T_21_rebooting,2023-09-16 17:31:52,18,50
mision 1,time_out,2023-09-16 17:34:14,user,50
mision 1,time_out,2023-09-16 17:34:14,user,50
mision 1,time_out,2023-09-16 17:34:15,user,50
mision 1,time_out,2023-09-16 17:34:15,user,50
mision 2,T_21_Busy,2023-09-16 17:17:30,11,50
mision 2,T_21_rebooting,2023-09-16 17:17:38,11,50
mision 2,T_21_Busy,2023-09-16 17:17:59,6,50
mision 2,T_21_rebooting,2023-09-16 17:18:07,6,50
mision 2,T_21_Busy,2023-09-16 17:19:49,18,50
mision 2,T_21_rebooting,2023-09-16 17:19:57,18,50
mision 2,T_21_Busy,2023-09-16 17:20:22,19,50
mision 2,T_21_rebooting,2023-09-16 17:20:30,19,50
mision 2,T_21_Busy,2023-09-16 17:21:51,16,50
mision 2,T_21_rebooting,2023-09-16 17:21:59,16,50
mision 2,T_21_Busy,2023-09-16 17:23:29,2,50
mision 2,T_21_rebooting,2023-09-16 17:23:38,2,50
mision 2,T_21_Busy,2023-09-16 17:27:51,10,50
mision 2,T_21_rebooting,2023-09-16 17:28:00,10,50
mision 2,T_21_Busy,2023-09-16 17:28:44,3,50
mision 2,T_21_rebooting,2023-09-16 17:28:53,3,50
mision 2,T_21_Busy,2023-09-16 17:29:39,10,50
