mision, action, DateTime, org:resource, randomSeed 
,T_0_Busy,2023-09-13 00:01:03,3,11
,T_0_Done,2023-09-13 00:01:08,3,11
,T_1_Busy,2023-09-13 00:01:13,0,11
,T_1_Done,2023-09-13 00:01:18,0,11
,T_2_ocupied,2023-09-13 00:01:24,4,11
,T_2_waiting,2023-09-13 00:01:24,4,11
,T_3_ocupied,2023-09-13 00:02:29,0,11
,T_3_waiting,2023-09-13 00:02:29,0,11
,T_2_busy,2023-09-13 00:02:29,4,11
,T_3_busy,2023-09-13 00:02:29,0,11
,T_2_done,2023-09-13 00:02:33,4,11
,T_3_done,2023-09-13 00:02:33,0,11
,T_4_Busy,2023-09-13 00:02:57,0,11
,T_4_Done,2023-09-13 00:03:02,0,11
,T_5_Busy,2023-09-13 00:03:21,2,11
,T_5_Done,2023-09-13 00:03:26,2,11
,T_0_ocupied,2023-09-13 00:03:33,4,11
,T_0_waiting,2023-09-13 00:03:33,4,11
,T_1_ocupied,2023-09-13 00:03:33,0,11
,T_1_waiting,2023-09-13 00:03:33,0,11
,T_0_busy,2023-09-13 00:03:33,4,11
,T_1_busy,2023-09-13 00:03:33,0,11
,T_0_done,2023-09-13 00:03:38,4,11
,T_1_done,2023-09-13 00:03:38,0,11
