mision, action, DateTime, org:resource, randomSeed 
mision 0,T_0_Busy,2023-09-13 00:00:12,3,4
mision 0,T_0_Done,2023-09-13 00:00:16,3,4
mision 0,T_1_Busy,2023-09-13 00:00:33,0,4
mision 0,T_1_Done,2023-09-13 00:00:38,0,4
mision 0,T_2_ocupied,2023-09-13 00:00:45,2,4
mision 0,T_2_waiting,2023-09-13 00:00:45,2,4
mision 0,T_3_ocupied,2023-09-13 00:01:35,3,4
mision 0,T_3_waiting,2023-09-13 00:01:35,3,4
mision 0,T_2_busy,2023-09-13 00:01:35,2,4
mision 0,T_3_busy,2023-09-13 00:01:35,3,4
mision 0,T_2_done,2023-09-13 00:01:40,2,4
mision 0,T_3_done,2023-09-13 00:01:40,3,4
mision 0,T_4_Busy,2023-09-13 00:01:56,1,4
mision 0,T_4_Done,2023-09-13 00:02:01,1,4
mision 0,T_5_Busy,2023-09-13 00:02:05,0,4
mision 0,T_5_Done,2023-09-13 00:02:10,0,4
mision 0,T_1_ocupied,2023-09-13 00:02:22,1,4
mision 0,T_1_waiting,2023-09-13 00:02:22,1,4
mision 0,T_0_ocupied,2023-09-13 00:02:26,0,4
mision 0,T_0_waiting,2023-09-13 00:02:26,0,4
mision 0,T_0_busy,2023-09-13 00:02:26,0,4
mision 0,T_1_busy,2023-09-13 00:02:26,1,4
mision 0,T_0_done,2023-09-13 00:02:31,0,4
mision 0,T_1_done,2023-09-13 00:02:31,1,4
mision 1,T_0_Busy,2023-09-13 00:02:34,0,70
mision 1,T_0_Done,2023-09-13 00:02:39,0,70
mision 1,T_1_Busy,2023-09-13 00:02:41,1,70
mision 1,T_1_Done,2023-09-13 00:02:46,1,70
mision 1,T_3_ocupied,2023-09-13 00:02:53,2,70
mision 1,T_3_waiting,2023-09-13 00:02:53,2,70
mision 2,T_0_Busy,2023-09-13 00:02:47,0,73
mision 2,T_0_Done,2023-09-13 00:02:52,0,73
mision 2,T_1_Busy,2023-09-13 00:02:55,3,73
mision 2,T_1_Done,2023-09-13 00:03:00,3,73
mision 2,T_2_ocupied,2023-09-13 00:03:09,2,73
mision 2,T_2_waiting,2023-09-13 00:03:09,2,73
mision 2,T_3_ocupied,2023-09-13 00:03:11,1,73
mision 2,T_3_waiting,2023-09-13 00:03:11,1,73
mision 2,T_2_busy,2023-09-13 00:03:11,2,73
mision 2,T_3_busy,2023-09-13 00:03:11,1,73
mision 2,T_2_done,2023-09-13 00:03:15,2,73
mision 2,T_3_done,2023-09-13 00:03:15,1,73
mision 2,T_4_Busy,2023-09-13 00:04:07,2,73
mision 2,T_4_Done,2023-09-13 00:04:11,2,73
mision 2,T_5_Busy,2023-09-13 00:04:29,4,73
mision 2,T_5_Done,2023-09-13 00:04:34,4,73
mision 2,T_1_ocupied,2023-09-13 00:04:39,0,73
mision 2,T_1_waiting,2023-09-13 00:04:39,0,73
mision 2,T_0_ocupied,2023-09-13 00:04:46,2,73
mision 2,T_0_waiting,2023-09-13 00:04:46,2,73
mision 2,T_0_busy,2023-09-13 00:04:46,2,73
mision 2,T_1_busy,2023-09-13 00:04:46,0,73
mision 2,T_0_done,2023-09-13 00:04:51,2,73
mision 2,T_1_done,2023-09-13 00:04:51,0,73
mision 3,T_0_Busy,2023-09-13 00:03:28,5,99
mision 3,T_0_Done,2023-09-13 00:03:33,5,99
mision 3,T_1_Busy,2023-09-13 00:04:00,5,99
mision 3,T_1_Done,2023-09-13 00:04:05,5,99
mision 3,T_2_ocupied,2023-09-13 00:04:10,4,99
mision 3,T_2_waiting,2023-09-13 00:04:10,4,99
mision 3,T_3_ocupied,2023-09-13 00:05:32,2,99
mision 3,T_3_waiting,2023-09-13 00:05:32,2,99
mision 3,T_2_busy,2023-09-13 00:05:32,4,99
mision 3,T_3_busy,2023-09-13 00:05:32,2,99
mision 3,T_2_done,2023-09-13 00:05:37,4,99
mision 3,T_3_done,2023-09-13 00:05:37,2,99
mision 3,T_4_Busy,2023-09-13 00:06:47,0,99
mision 3,T_4_Done,2023-09-13 00:06:52,0,99
mision 3,T_5_Busy,2023-09-13 00:07:25,5,99
mision 3,T_5_Done,2023-09-13 00:07:30,5,99
mision 3,T_1_ocupied,2023-09-13 00:07:38,3,99
mision 3,T_1_waiting,2023-09-13 00:07:38,3,99
mision 3,T_0_ocupied,2023-09-13 00:08:17,0,99
mision 3,T_0_waiting,2023-09-13 00:08:17,0,99
mision 3,T_0_busy,2023-09-13 00:08:17,0,99
mision 3,T_1_busy,2023-09-13 00:08:17,3,99
mision 3,T_0_done,2023-09-13 00:08:21,0,99
mision 3,T_1_done,2023-09-13 00:08:21,3,99
mision 4,T_0_Busy,2023-09-13 00:00:27,0,15
mision 4,T_0_Done,2023-09-13 00:00:32,0,15
mision 4,T_1_Busy,2023-09-13 00:00:40,4,15
mision 4,T_1_Done,2023-09-13 00:00:45,4,15
mision 4,T_2_ocupied,2023-09-13 00:00:53,5,15
mision 4,T_2_waiting,2023-09-13 00:00:53,5,15
mision 4,T_3_ocupied,2023-09-13 00:01:01,1,15
mision 4,T_3_waiting,2023-09-13 00:01:01,1,15
mision 4,T_2_busy,2023-09-13 00:01:01,5,15
mision 4,T_3_busy,2023-09-13 00:01:01,1,15
mision 4,T_2_done,2023-09-13 00:01:06,5,15
mision 4,T_3_done,2023-09-13 00:01:06,1,15
mision 4,T_4_Busy,2023-09-13 00:01:21,0,15
mision 4,T_4_Done,2023-09-13 00:01:26,0,15
mision 4,T_5_Busy,2023-09-13 00:01:38,4,15
mision 4,T_5_Done,2023-09-13 00:01:43,4,15
mision 4,T_0_ocupied,2023-09-13 00:01:50,5,15
mision 4,T_0_waiting,2023-09-13 00:01:50,5,15
mision 4,T_1_ocupied,2023-09-13 00:01:53,1,15
mision 4,T_1_waiting,2023-09-13 00:01:53,1,15
mision 4,T_0_busy,2023-09-13 00:01:53,5,15
mision 4,T_1_busy,2023-09-13 00:01:53,1,15
mision 4,T_0_done,2023-09-13 00:01:58,5,15
mision 4,T_1_done,2023-09-13 00:01:58,1,15
mision 5,T_0_Busy,2023-09-13 00:02:57,3,79
mision 5,T_0_Done,2023-09-13 00:03:02,3,79
mision 5,T_1_Busy,2023-09-13 00:03:17,5,79
