mision, action, DateTime, org:resource, randomSeed 
,T_5_Busy,2023-09-13 09:07:50,5,61
,T_5_Done,2023-09-13 09:07:55,5,61
,T_2_Busy,2023-09-13 09:07:59,4,61
,T_2_Done,2023-09-13 09:08:04,4,61
,T_2_ocupied,2023-09-13 09:08:04,4,61
,T_2_waiting,2023-09-13 09:08:04,4,61
,T_1_ocupied,2023-09-13 09:08:13,3,61
,T_1_waiting,2023-09-13 09:08:13,3,61
,T_6_ocupied,2023-09-13 09:08:17,1,61
,T_6_waiting,2023-09-13 09:08:17,1,61
,T_1_busy,2023-09-13 09:08:17,3,61
,T_2_busy,2023-09-13 09:08:17,4,61
,T_6_busy,2023-09-13 09:08:17,1,61
,T_1_done,2023-09-13 09:08:22,3,61
,T_2_done,2023-09-13 09:08:22,4,61
,T_6_done,2023-09-13 09:08:22,1,61
