mision, action, DateTime, org:resource, randomSeed 
,T_16_ocupied,2023-09-19 21:47:34,0,11
,T_16_waiting,2023-09-19 21:47:34,0,11
,T_3_ocupied,2023-09-19 21:48:27,12,11
,T_3_waiting,2023-09-19 21:48:27,12,11
,T_8_ocupied,2023-09-19 21:48:57,23,11
,T_8_waiting,2023-09-19 21:48:57,23,11
,T_16_Busy,2023-09-19 21:48:57,0,11
,T_8_Busy,2023-09-19 21:48:57,23,11
,T_3_Busy,2023-09-19 21:48:57,12,11
,T_16_Done,2023-09-19 21:49:02,0,11
,T_8_Done,2023-09-19 21:49:02,23,11
,T_3_Done,2023-09-19 21:49:02,12,11
,T_14_Busy,2023-09-19 21:49:52,26,11
,T_14_Done,2023-09-19 21:49:56,26,11
,T_58_Busy,2023-09-19 21:52:12,19,11
,T_58_Done,2023-09-19 21:52:16,19,11
,T_16_Busy,2023-09-19 21:53:28,29,11
,T_16_Done,2023-09-19 21:53:32,29,11
,T_52_Busy,2023-09-19 21:54:01,16,11
,T_52_Done,2023-09-19 21:54:05,16,11
,T_27_Busy,2023-09-19 21:54:17,25,11
,T_27_Done,2023-09-19 21:54:21,25,11
,T_59_ocupied,2023-09-19 21:54:25,7,11
,T_59_waiting,2023-09-19 21:54:25,7,11
,T_37_ocupied,2023-09-19 21:54:26,26,11
,T_37_waiting,2023-09-19 21:54:26,26,11
,T_51_ocupied,2023-09-19 21:54:43,27,11
,T_51_waiting,2023-09-19 21:54:43,27,11
,T_54_ocupied,2023-09-19 21:54:53,12,11
,T_54_waiting,2023-09-19 21:54:53,12,11
,T_48_ocupied,2023-09-19 21:55:18,20,11
,T_48_waiting,2023-09-19 21:55:18,20,11
,T_9_ocupied,2023-09-19 21:56:16,3,11
,T_9_waiting,2023-09-19 21:56:16,3,11
,T_37_Busy,2023-09-19 21:56:16,26,11
,T_9_Busy,2023-09-19 21:56:16,3,11
,T_51_Busy,2023-09-19 21:56:16,27,11
,T_54_Busy,2023-09-19 21:56:16,12,11
,T_59_Busy,2023-09-19 21:56:16,7,11
,T_48_Busy,2023-09-19 21:56:16,20,11
,T_37_Done,2023-09-19 21:56:21,26,11
,T_9_Done,2023-09-19 21:56:21,3,11
,T_51_Done,2023-09-19 21:56:21,27,11
,T_54_Done,2023-09-19 21:56:21,12,11
,T_59_Done,2023-09-19 21:56:21,7,11
,T_48_Done,2023-09-19 21:56:21,20,11
,T_44_Busy,2023-09-19 21:57:00,20,11
,T_44_Done,2023-09-19 21:57:04,20,11
,T_43_Busy,2023-09-19 21:58:43,0,11
,T_43_Done,2023-09-19 21:58:47,0,11
,T_29_Busy,2023-09-19 21:59:00,11,11
,T_29_Done,2023-09-19 21:59:04,11,11
,T_37_Busy,2023-09-19 21:59:20,1,11
,T_37_Done,2023-09-19 21:59:24,1,11
,T_24_Busy,2023-09-19 22:00:28,5,11
,T_24_Done,2023-09-19 22:00:31,5,11
,T_52_ocupied,2023-09-19 22:00:36,16,11
,T_52_waiting,2023-09-19 22:00:36,16,11
,T_40_ocupied,2023-09-19 22:01:00,19,11
,T_40_waiting,2023-09-19 22:01:00,19,11
,T_57_ocupied,2023-09-19 22:01:01,12,11
,T_57_waiting,2023-09-19 22:01:01,12,11
,T_52_Busy,2023-09-19 22:01:01,16,11
,T_40_Busy,2023-09-19 22:01:01,19,11
,T_57_Busy,2023-09-19 22:01:01,12,11
,T_52_Done,2023-09-19 22:01:06,16,11
,T_40_Done,2023-09-19 22:01:06,19,11
,T_57_Done,2023-09-19 22:01:06,12,11
,T_49_Busy,2023-09-19 22:01:56,28,11
,T_49_Done,2023-09-19 22:02:00,28,11
,T_6_Busy,2023-09-19 22:02:43,9,11
,T_6_Done,2023-09-19 22:02:46,9,11
,T_31_Busy,2023-09-19 22:02:59,1,11
,T_31_Done,2023-09-19 22:03:02,1,11
,simulation_successful,2023-09-19 22:03:02,user,11
