mision, action, DateTime, org:resource, randomSeed 
,T_19_ocupied,2023-09-19 22:04:48,27,9
,T_19_waiting,2023-09-19 22:04:48,27,9
,T_18_ocupied,2023-09-19 22:04:51,13,9
,T_18_waiting,2023-09-19 22:04:51,13,9
,T_0_ocupied,2023-09-19 22:04:55,18,9
,T_0_waiting,2023-09-19 22:04:55,18,9
,T_6_ocupied,2023-09-19 22:04:55,24,9
,T_6_waiting,2023-09-19 22:04:55,24,9
,T_2_ocupied,2023-09-19 22:05:01,4,9
,T_2_waiting,2023-09-19 22:05:01,4,9
,T_16_ocupied,2023-09-19 22:05:02,17,9
,T_16_waiting,2023-09-19 22:05:02,17,9
,T_44_ocupied,2023-09-19 22:05:12,25,9
,T_44_waiting,2023-09-19 22:05:12,25,9
,T_57_ocupied,2023-09-19 22:05:16,22,9
,T_57_waiting,2023-09-19 22:05:16,22,9
,T_35_ocupied,2023-09-19 22:05:18,21,9
,T_35_waiting,2023-09-19 22:05:18,21,9
,T_46_ocupied,2023-09-19 22:05:19,6,9
,T_46_waiting,2023-09-19 22:05:19,6,9
,T_29_ocupied,2023-09-19 22:05:25,20,9
,T_29_waiting,2023-09-19 22:05:25,20,9
,T_31_ocupied,2023-09-19 22:05:27,8,9
,T_31_waiting,2023-09-19 22:05:27,8,9
,T_50_ocupied,2023-09-19 22:05:38,11,9
,T_50_waiting,2023-09-19 22:05:38,11,9
,T_41_ocupied,2023-09-19 22:06:12,14,9
,T_41_waiting,2023-09-19 22:06:12,14,9
,T_27_ocupied,2023-09-19 22:06:18,0,9
,T_27_waiting,2023-09-19 22:06:18,0,9
,T_9_ocupied,2023-09-19 22:06:24,10,9
,T_9_waiting,2023-09-19 22:06:24,10,9
,T_34_ocupied,2023-09-19 22:06:51,3,9
,T_34_waiting,2023-09-19 22:06:51,3,9
,T_11_ocupied,2023-09-19 22:06:55,1,9
,T_11_waiting,2023-09-19 22:06:55,1,9
,T_3_ocupied,2023-09-19 22:09:11,2,9
,T_3_waiting,2023-09-19 22:09:11,2,9
,T_18_Busy,2023-09-19 22:09:11,13,9
,T_0_Busy,2023-09-19 22:09:11,18,9
,T_44_Busy,2023-09-19 22:09:11,25,9
,T_50_Busy,2023-09-19 22:09:11,11,9
,T_31_Busy,2023-09-19 22:09:11,8,9
,T_9_Busy,2023-09-19 22:09:11,10,9
,T_34_Busy,2023-09-19 22:09:11,3,9
,T_57_Busy,2023-09-19 22:09:11,22,9
,T_27_Busy,2023-09-19 22:09:11,0,9
,T_16_Busy,2023-09-19 22:09:11,17,9
,T_41_Busy,2023-09-19 22:09:11,14,9
,T_6_Busy,2023-09-19 22:09:11,24,9
,T_11_Busy,2023-09-19 22:09:11,1,9
,T_2_Busy,2023-09-19 22:09:11,4,9
,T_3_Busy,2023-09-19 22:09:11,2,9
,T_29_Busy,2023-09-19 22:09:11,20,9
,T_46_Busy,2023-09-19 22:09:11,6,9
,T_35_Busy,2023-09-19 22:09:11,21,9
,T_19_Busy,2023-09-19 22:09:11,27,9
,T_18_Done,2023-09-19 22:09:16,13,9
,T_0_Done,2023-09-19 22:09:16,18,9
,T_44_Done,2023-09-19 22:09:16,25,9
