Trace Number,Trace Is Fit,Trace Fitness,Missing Tokens,Consumed Tokens,Remaining Tokens,Produced Tokens
1,False,0.9772727272727273,1,44,1,44
----------,----------,----------,----------,----------,----------,----------
2,False,0.9148936170212766,4,47,4,47
----------,----------,----------,----------,----------,----------,----------
3,False,0.8269230769230769,9,52,9,52
----------,----------,----------,----------,----------,----------,----------
4,True,1.0,0,43,0,43
----------,----------,----------,----------,----------,----------,----------
5,True,1.0,0,43,0,43
----------,----------,----------,----------,----------,----------,----------
6,False,0.8240531373657434,12,61,9,58
----------,----------,----------,----------,----------,----------,----------
7,True,1.0,0,43,0,43
----------,----------,----------,----------,----------,----------,----------
8,False,0.9148936170212766,4,47,4,47
----------,----------,----------,----------,----------,----------,----------
9,False,0.9772727272727273,1,44,1,44
----------,----------,----------,----------,----------,----------,----------
10,True,1.0,0,43,0,43
----------,----------,----------,----------,----------,----------,----------
