mision, action, DateTime, org:resource, randomSeed 
mision 0,T_49_Busy,2023-09-20 15:46:57,21,1
mision 0,T_49_Done,2023-09-20 15:47:01,21,1
mision 0,T_1_Busy,2023-09-20 15:47:29,10,1
mision 0,T_1_Done,2023-09-20 15:47:33,10,1
mision 0,simulation_successful,2023-09-20 15:47:33,user,1
mision 1,T_49_Busy,2023-09-20 15:46:28,0,2
mision 1,T_49_Done,2023-09-20 15:46:32,0,2
mision 1,T_1_Busy,2023-09-20 15:46:54,15,2
mision 1,T_1_Done,2023-09-20 15:46:58,15,2
mision 1,simulation_successful,2023-09-20 15:46:58,user,2
