mision, action, DateTime, org:resource, randomSeed 
,T_27_ocupied,2023-09-20 18:31:45,19,2
,T_27_waiting,2023-09-20 18:31:45,19,2
,T_58_ocupied,2023-09-20 18:31:50,2,2
,T_58_waiting,2023-09-20 18:31:50,2,2
,T_45_ocupied,2023-09-20 18:31:50,8,2
,T_45_waiting,2023-09-20 18:31:50,8,2
,T_44_ocupied,2023-09-20 18:31:52,5,2
,T_44_waiting,2023-09-20 18:31:52,5,2
,T_11_ocupied,2023-09-20 18:31:52,21,2
,T_11_waiting,2023-09-20 18:31:52,21,2
,T_40_ocupied,2023-09-20 18:31:56,0,2
,T_40_waiting,2023-09-20 18:31:56,0,2
,T_16_ocupied,2023-09-20 18:31:57,20,2
,T_16_waiting,2023-09-20 18:31:57,20,2
,T_53_ocupied,2023-09-20 18:31:57,6,2
,T_53_waiting,2023-09-20 18:31:57,6,2
,T_59_ocupied,2023-09-20 18:31:59,17,2
,T_59_waiting,2023-09-20 18:31:59,17,2
,T_52_ocupied,2023-09-20 18:32:14,1,2
,T_52_waiting,2023-09-20 18:32:14,1,2
,T_8_ocupied,2023-09-20 18:32:15,24,2
,T_8_waiting,2023-09-20 18:32:15,24,2
,T_13_ocupied,2023-09-20 18:32:17,3,2
,T_13_waiting,2023-09-20 18:32:17,3,2
,T_1_ocupied,2023-09-20 18:32:19,15,2
,T_1_waiting,2023-09-20 18:32:19,15,2
,T_37_ocupied,2023-09-20 18:32:21,23,2
,T_37_waiting,2023-09-20 18:32:21,23,2
,T_15_ocupied,2023-09-20 18:32:37,29,2
,T_15_waiting,2023-09-20 18:32:37,29,2
,T_24_ocupied,2023-09-20 18:32:44,27,2
,T_24_waiting,2023-09-20 18:32:44,27,2
,T_51_ocupied,2023-09-20 18:33:01,14,2
,T_51_waiting,2023-09-20 18:33:01,14,2
,T_39_ocupied,2023-09-20 18:33:04,4,2
,T_39_waiting,2023-09-20 18:33:04,4,2
,T_55_ocupied,2023-09-20 18:33:52,11,2
,T_55_waiting,2023-09-20 18:33:52,11,2
,T_46_ocupied,2023-09-20 18:34:03,26,2
,T_46_waiting,2023-09-20 18:34:03,26,2
,T_23_ocupied,2023-09-20 18:34:10,7,2
,T_23_waiting,2023-09-20 18:34:10,7,2
,T_26_ocupied,2023-09-20 18:42:48,9,2
,T_26_waiting,2023-09-20 18:42:48,9,2
,T_11_Busy,2023-09-20 18:42:48,21,2
,T_27_Busy,2023-09-20 18:42:48,19,2
,T_59_Busy,2023-09-20 18:42:48,17,2
,T_55_Busy,2023-09-20 18:42:48,11,2
,T_39_Busy,2023-09-20 18:42:48,4,2
,T_24_Busy,2023-09-20 18:42:48,27,2
,T_16_Busy,2023-09-20 18:42:48,20,2
,T_45_Busy,2023-09-20 18:42:48,8,2
,T_13_Busy,2023-09-20 18:42:48,3,2
,T_40_Busy,2023-09-20 18:42:48,0,2
,T_44_Busy,2023-09-20 18:42:48,5,2
,T_46_Busy,2023-09-20 18:42:48,26,2
,T_15_Busy,2023-09-20 18:42:48,29,2
,T_23_Busy,2023-09-20 18:42:48,7,2
,T_26_Busy,2023-09-20 18:42:48,9,2
,T_52_Busy,2023-09-20 18:42:48,1,2
,T_58_Busy,2023-09-20 18:42:48,2,2
,T_51_Busy,2023-09-20 18:42:48,14,2
,T_1_Busy,2023-09-20 18:42:48,15,2
,T_53_Busy,2023-09-20 18:42:48,6,2
,T_8_Busy,2023-09-20 18:42:48,24,2
,T_37_Busy,2023-09-20 18:42:48,23,2
,T_11_Done,2023-09-20 18:42:53,21,2
,T_27_Done,2023-09-20 18:42:53,19,2
,T_59_Done,2023-09-20 18:42:53,17,2
,T_55_Done,2023-09-20 18:42:53,11,2
,T_39_Done,2023-09-20 18:42:53,4,2
,T_24_Done,2023-09-20 18:42:53,27,2
,T_16_Done,2023-09-20 18:42:53,20,2
,T_45_Done,2023-09-20 18:42:53,8,2
,T_13_Done,2023-09-20 18:42:53,3,2
,T_40_Done,2023-09-20 18:42:53,0,2
,T_44_Done,2023-09-20 18:42:53,5,2
,T_46_Done,2023-09-20 18:42:53,26,2
,T_15_Done,2023-09-20 18:42:53,29,2
,T_23_Done,2023-09-20 18:42:53,7,2
,T_26_Done,2023-09-20 18:42:53,9,2
,T_52_Done,2023-09-20 18:42:53,1,2
,T_58_Done,2023-09-20 18:42:53,2,2
,T_51_Done,2023-09-20 18:42:53,14,2
,T_1_Done,2023-09-20 18:42:53,15,2
,T_53_Done,2023-09-20 18:42:53,6,2
,T_8_Done,2023-09-20 18:42:53,24,2
,T_37_Done,2023-09-20 18:42:53,23,2
,T_40_Busy,2023-09-20 18:42:54,0,2
,T_40_Done,2023-09-20 18:42:58,0,2
,T_56_Busy,2023-09-20 18:43:57,26,2
,T_56_rebooting,2023-09-20 18:44:08,26,2
,T_56_Busy,2023-09-20 18:44:20,20,2
,T_56_rebooting,2023-09-20 18:44:31,20,2
,T_56_Busy,2023-09-20 18:44:50,21,2
,T_56_rebooting,2023-09-20 18:45:01,21,2
,T_56_Busy,2023-09-20 18:45:16,10,2
,T_56_rebooting,2023-09-20 18:45:23,10,2
,T_56_Busy,2023-09-20 18:45:33,10,2
,T_56_Done,2023-09-20 18:45:37,10,2
,T_26_Busy,2023-09-20 18:46:51,21,2
,T_26_Done,2023-09-20 18:46:55,21,2
,simulation_successful,2023-09-20 18:46:55,user,2
