case_id;activity;time;robot
;TA_enter;2023-08-21 10:17:35;5
;TB_enter;2023-08-21 10:17:36;3
;TA_task1;2023-08-21 10:17:40;5
;TB_task2;2023-08-21 10:17:41;3
;TA_task3;2023-08-21 10:17:43;0
;TB_task3;2023-08-21 10:17:43;0
;TC_enter;2023-08-21 10:17:50;4
;TC_task1;2023-08-21 10:17:55;4
;TD_enter;2023-08-21 10:18:40;1
;TD_task2;2023-08-21 10:18:45;1
;TC_task3;2023-08-21 10:18:47;4
;TD_task3;2023-08-21 10:18:47;4
;TF_enter;2023-08-21 10:18:59;2
;TE_enter;2023-08-21 10:19:02;3
;TF_task2;2023-08-21 10:19:03;2
;TE_task1;2023-08-21 10:19:07;3
;TE_task3;2023-08-21 10:19:09;0
;TF_task3;2023-08-21 10:19:09;0
;TG_enter;2023-08-21 10:19:22;5
;TH_enter;2023-08-21 10:19:24;4
;TG_task1;2023-08-21 10:19:27;5
;TH_task2;2023-08-21 10:19:29;4
;TG_task3;2023-08-21 10:19:30;1
;TH_task3;2023-08-21 10:19:30;1
;TG_task4;2023-08-21 10:19:31;4
;TH_task4;2023-08-21 10:19:31;4
