mision;activity;time;robot
;TA_enter;2023-08-25 15:33:22;3
;TA_task1;2023-08-25 15:33:27;3
;TB_enter;2023-08-25 15:33:30;2
;TB_task2;2023-08-25 15:33:35;2
;TA_task3;2023-08-25 15:33:37;5
;TB_task3;2023-08-25 15:33:37;5
;TD_enter;2023-08-25 15:33:47;0
;TD_task2;2023-08-25 15:33:52;0
;TC_enter;2023-08-25 15:33:56;4
;TC_task1;2023-08-25 15:34:01;4
;TC_task3;2023-08-25 15:34:03;1
;TD_task3;2023-08-25 15:34:03;1
;TF_enter;2023-08-25 15:34:22;3
;TF_task2;2023-08-25 15:34:27;3
;TE_enter;2023-08-25 15:34:50;5
;TE_task1;2023-08-25 15:34:55;5
;TE_task3;2023-08-25 15:34:57;2
;TF_task3;2023-08-25 15:34:57;2
;TG_enter;2023-08-25 15:35:08;2
;TG_task1;2023-08-25 15:35:13;2
;TH_enter;2023-08-25 15:35:13;4
;TH_task2;2023-08-25 15:35:18;4
;TG_task3;2023-08-25 15:35:20;1
;TH_task3;2023-08-25 15:35:20;1
;TG_task4;2023-08-25 15:35:20;4
;TH_task4;2023-08-25 15:35:20;4
