mision;activity;time;robot
mision 10;TA_enter;2023-08-25 15:33:27;2
mision 10;TA_task1;2023-08-25 15:33:32;2
mision 10;TB_enter;2023-08-25 15:33:34;3
mision 10;TB_task2;2023-08-25 15:33:39;3
mision 10;TA_task3;2023-08-25 15:33:41;0
mision 10;TB_task3;2023-08-25 15:33:41;0
mision 10;TC_enter;2023-08-25 15:34:07;4
mision 10;TC_task1;2023-08-25 15:34:12;4
mision 10;TD_enter;2023-08-25 15:34:51;5
mision 10;TD_task2;2023-08-25 15:34:56;5
mision 10;TC_task3;2023-08-25 15:34:58;2
mision 10;TD_task3;2023-08-25 15:34:58;2
mision 10;TF_enter;2023-08-25 15:35:18;3
mision 10;TF_task2;2023-08-25 15:35:23;3
mision 10;TE_enter;2023-08-25 15:36:26;1
mision 10;TE_task1;2023-08-25 15:36:32;1
mision 10;TE_task3;2023-08-25 15:36:33;4
mision 10;TF_task3;2023-08-25 15:36:33;4
mision 10;TG_enter;2023-08-25 15:36:45;0
mision 10;TH_enter;2023-08-25 15:36:49;4
mision 10;TG_task1;2023-08-25 15:36:50;0
mision 10;TH_task2;2023-08-25 15:36:54;4
mision 10;TG_task3;2023-08-25 15:36:55;1
mision 10;TH_task3;2023-08-25 15:36:55;1
mision 10;TG_task4;2023-08-25 15:36:55;4
mision 10;TH_task4;2023-08-25 15:36:55;4
mision 11;TA_enter;2023-08-25 15:32:47;5
mision 11;TA_task1;2023-08-25 15:32:52;5
mision 11;TB_enter;2023-08-25 15:33:29;3
mision 11;TB_task2;2023-08-25 15:33:34;3
mision 11;TA_task3;2023-08-25 15:33:35;0
mision 11;TB_task3;2023-08-25 15:33:35;0
mision 11;TC_enter;2023-08-25 15:33:57;2
mision 11;TD_enter;2023-08-25 15:33:59;4
mision 11;TC_task1;2023-08-25 15:34:02;2
mision 11;TD_task2;2023-08-25 15:34:04;4
mision 11;TC_task3;2023-08-25 15:34:06;1
mision 11;TD_task3;2023-08-25 15:34:06;1
mision 11;TF_enter;2023-08-25 15:34:17;1
mision 11;TF_task2;2023-08-25 15:34:22;1
mision 11;TE_enter;2023-08-25 15:35:11;3
mision 11;TE_task1;2023-08-25 15:35:16;3
mision 11;TE_task3;2023-08-25 15:35:17;0
mision 11;TF_task3;2023-08-25 15:35:17;0
mision 11;TG_enter;2023-08-25 15:35:23;5
mision 11;TG_task1;2023-08-25 15:35:28;5
mision 11;TH_enter;2023-08-25 15:36:15;4
mision 11;TH_task2;2023-08-25 15:36:20;4
mision 11;TG_task3;2023-08-25 15:36:22;1
mision 11;TH_task3;2023-08-25 15:36:22;1
mision 11;TG_task4;2023-08-25 15:36:22;4
mision 11;TH_task4;2023-08-25 15:36:22;4
mision 12;TB_enter;2023-08-25 15:32:49;2
mision 12;TA_enter;2023-08-25 15:32:53;1
mision 12;TB_task2;2023-08-25 15:32:54;2
mision 12;TA_task1;2023-08-25 15:32:57;1
mision 12;TA_task3;2023-08-25 15:32:59;4
mision 12;TB_task3;2023-08-25 15:32:59;4
mision 12;TC_enter;2023-08-25 15:33:31;5
mision 12;TD_enter;2023-08-25 15:33:33;0
mision 12;TC_task1;2023-08-25 15:33:36;5
mision 12;TD_task2;2023-08-25 15:33:38;0
mision 12;TC_task3;2023-08-25 15:33:40;3
mision 12;TD_task3;2023-08-25 15:33:40;3
mision 12;TE_enter;2023-08-25 15:34:00;2
mision 12;TF_enter;2023-08-25 15:34:04;3
mision 12;TE_task1;2023-08-25 15:34:05;2
mision 12;TF_task2;2023-08-25 15:34:08;3
mision 12;TE_task3;2023-08-25 15:34:10;0
mision 12;TF_task3;2023-08-25 15:34:10;0
mision 12;TG_enter;2023-08-25 15:34:26;5
mision 12;TG_task1;2023-08-25 15:34:31;5
mision 12;TH_enter;2023-08-25 15:34:48;1
mision 12;TH_task2;2023-08-25 15:34:53;1
mision 12;TG_task3;2023-08-25 15:34:54;4
mision 12;TH_task3;2023-08-25 15:34:54;4
mision 12;TG_task4;2023-08-25 15:34:54;1
mision 12;TH_task4;2023-08-25 15:34:54;1
mision 13;TA_enter;2023-08-25 15:33:11;1
mision 13;TA_task1;2023-08-25 15:33:16;1
