case_id;activity;time;robot
;TB_enter;2023-08-21 10:41:47;2
;TB_task2;2023-08-21 10:41:52;2
;TA_enter;2023-08-21 10:42:12;4
;TA_task1;2023-08-21 10:42:17;4
;TA_task3;2023-08-21 10:42:19;1
;TB_task3;2023-08-21 10:42:19;1
;TC_enter;2023-08-21 10:42:25;5
;TC_task1;2023-08-21 10:42:30;5
;TD_enter;2023-08-21 10:43:36;3
;TD_task2;2023-08-21 10:43:41;3
;TC_task3;2023-08-21 10:43:43;0
;TD_task3;2023-08-21 10:43:43;0
;TF_enter;2023-08-21 10:44:00;4
;TF_task2;2023-08-21 10:44:04;4
;TE_enter;2023-08-21 10:44:32;0
;TE_task1;2023-08-21 10:44:37;0
;TE_task3;2023-08-21 10:44:39;3
;TF_task3;2023-08-21 10:44:39;3
;TG_enter;2023-08-21 10:44:54;3
;TG_task1;2023-08-21 10:44:59;3
;TH_enter;2023-08-21 10:45:52;1
;TH_task2;2023-08-21 10:45:57;1
;TG_task3;2023-08-21 10:45:59;4
;TH_task3;2023-08-21 10:45:59;4
;TG_task4;2023-08-21 10:45:59;1
;TH_task4;2023-08-21 10:45:59;1
