mision;activity;time;robot
;TB_enter;2023-08-24 19:21:59;5
;TB_task2;2023-08-24 19:21:59;5
;TA_enter;2023-08-24 19:21:59;1
;TA_task1;2023-08-24 19:21:59;1
;TA_task3;2023-08-24 19:21:59;4
;TB_task3;2023-08-24 19:21:59;4
;TC_enter;2023-08-24 19:21:59;2
;TC_task1;2023-08-24 19:21:59;2
;TD_enter;2023-08-24 19:21:59;3
;TD_task2;2023-08-24 19:21:59;3
;TC_task3;2023-08-24 19:21:59;0
;TD_task3;2023-08-24 19:21:59;0
;TF_enter;2023-08-24 19:21:59;1
;TF_task2;2023-08-24 19:21:59;1
;TE_enter;2023-08-24 19:22:00;0
;TE_task1;2023-08-24 19:22:00;0
;TE_task3;2023-08-24 19:22:00;3
;TF_task3;2023-08-24 19:22:00;3
;TG_enter;2023-08-24 19:22:00;5
;TG_task1;2023-08-24 19:22:00;5
;TH_enter;2023-08-24 19:22:00;3
;TH_task2;2023-08-24 19:22:00;3
;TG_task3;2023-08-24 19:22:00;0
;TH_task3;2023-08-24 19:22:00;0
;TG_task4;2023-08-24 19:22:00;3
;TH_task4;2023-08-24 19:22:00;3
