case_id;activity;time
mision1;TG_enter;2023-01-01 00:00:34
mision1;TB_enter;2023-01-01 00:01:27
mision1;TH_enter;2023-01-01 00:01:57
mision1;TF_enter;2023-01-01 00:02:11
mision1;TC_enter;2023-01-01 00:02:20
mision1;TE_enter;2023-01-01 00:03:15
mision1;TA_enter;2023-01-01 00:09:36
mision1;TD_enter;2023-01-01 00:10:53
mision1;T1-TH_task9;2023-01-01 00:11:06
mision2;TC_enter;2023-01-02 00:00:21
mision2;TD_enter;2023-01-02 00:00:44
mision2;TG_enter;2023-01-02 00:00:57
mision2;TH_enter;2023-01-02 00:01:34
mision2;TF_enter;2023-01-02 00:01:58
mision2;TA_enter;2023-01-02 00:02:58
mision2;TE_enter;2023-01-02 00:07:09
mision2;TB_enter;2023-01-02 00:21:10
mision2;T1-TH_task9;2023-01-02 00:21:23
mision3;TD_enter;2023-01-03 00:00:29
mision3;TG_enter;2023-01-03 00:00:36
mision3;TC_enter;2023-01-03 00:00:38
mision3;TB_enter;2023-01-03 00:01:19
mision3;TA_enter;2023-01-03 00:03:12
mision3;TH_enter;2023-01-03 00:03:38
mision3;TE_enter;2023-01-03 00:06:21
mision3;TF_enter;2023-01-03 00:09:37
mision3;T1-TH_task9;2023-01-03 00:09:49
mision4;TG_enter;2023-01-04 00:00:21
mision4;TF_enter;2023-01-04 00:01:10
mision4;TD_enter;2023-01-04 00:01:50
mision4;TC_enter;2023-01-04 00:02:26
mision4;TA_enter;2023-01-04 00:02:33
mision4;TB_enter;2023-01-04 00:03:58
mision4;TH_enter;2023-01-04 00:04:17
mision4;TE_enter;2023-01-04 00:25:26
mision4;T1-TH_task9;2023-01-04 00:25:38
mision5;TG_enter;2023-01-05 00:00:58
mision5;TC_enter;2023-01-05 00:01:00
mision5;TF_enter;2023-01-05 00:01:12
mision5;TH_enter;2023-01-05 00:02:17
mision5;TA_enter;2023-01-05 00:04:23
mision5;TB_enter;2023-01-05 00:09:46
mision5;TD_enter;2023-01-05 00:10:31
mision5;TE_enter;2023-01-05 00:43:13
mision5;T1-TH_task9;2023-01-05 00:43:26
mision6;TC_enter;2023-01-06 00:00:46
mision6;TG_enter;2023-01-06 00:00:47
mision6;TD_enter;2023-01-06 00:01:30
mision6;TH_enter;2023-01-06 00:01:59
mision6;TB_enter;2023-01-06 00:02:13
mision6;TF_enter;2023-01-06 00:02:37
mision6;TE_enter;2023-01-06 00:07:00
mision6;TA_enter;2023-01-06 00:12:51
mision6;T1-TH_task9;2023-01-06 00:13:03
mision7;TC_enter;2023-01-07 00:00:39
mision7;TG_enter;2023-01-07 00:01:36
mision7;TD_enter;2023-01-07 00:01:46
mision7;TB_enter;2023-01-07 00:01:48
mision7;TH_enter;2023-01-07 00:03:29
mision7;TF_enter;2023-01-07 00:04:47
mision7;TA_enter;2023-01-07 00:05:48
mision7;TE_enter;2023-01-07 00:38:26
mision7;T1-TH_task9;2023-01-07 00:38:38
mision8;TC_enter;2023-01-08 00:00:38
mision8;TH_enter;2023-01-08 00:00:48
mision8;TD_enter;2023-01-08 00:01:19
mision8;TB_enter;2023-01-08 00:01:54
mision8;TF_enter;2023-01-08 00:02:37
mision8;TG_enter;2023-01-08 00:03:29
mision8;TA_enter;2023-01-08 00:05:23
mision8;TE_enter;2023-01-08 00:06:38
mision8;T1-TH_task9;2023-01-08 00:06:51
mision9;TC_enter;2023-01-09 00:00:37
mision9;TG_enter;2023-01-09 00:00:51
mision9;TH_enter;2023-01-09 00:01:14
mision9;TB_enter;2023-01-09 00:01:41
mision9;TD_enter;2023-01-09 00:01:48
mision9;TF_enter;2023-01-09 00:03:27
mision9;TE_enter;2023-01-09 00:15:20
mision9;TA_enter;2023-01-09 00:24:27
mision9;T1-TH_task9;2023-01-09 00:24:40
mision10;TH_enter;2023-01-10 00:00:41
mision10;TG_enter;2023-01-10 00:00:56
mision10;TD_enter;2023-01-10 00:01:27
mision10;TB_enter;2023-01-10 00:01:41
mision10;TE_enter;2023-01-10 00:03:10
mision10;TC_enter;2023-01-10 00:03:43
mision10;TA_enter;2023-01-10 00:03:54
mision10;TF_enter;2023-01-10 00:29:54
mision10;T1-TH_task9;2023-01-10 00:30:06
