case_id;activity;time
mision50;T3_enter;2023-02-20 00:00:24
mision50;T8_enter;2023-02-20 00:00:48
mision50;T7_enter;2023-02-20 00:01:03
mision50;T3_task3;2023-02-20 00:01:13
mision50;T8_task8;2023-02-20 00:01:37
mision50;T2_enter;2023-02-20 00:01:47
mision50;T7_task7;2023-02-20 00:01:52
mision50;T5_enter;2023-02-20 00:01:55
mision50;T2_task2;2023-02-20 00:02:36
mision50;T5_task5;2023-02-20 00:02:44
mision50;T1_enter;2023-02-20 00:03:35
mision50;T1_task1;2023-02-20 00:04:24
mision50;T4_enter;2023-02-20 00:08:48
mision50;T4_task4;2023-02-20 00:09:37
mision50;T6_enter;2023-02-20 00:12:56
mision50;T6_task6;2023-02-20 00:13:45
mision50;T1-T8_task9;2023-02-20 00:13:58
