case_id;activity;time
3;T3_enter;2023-07-28 00:00:27
7;T7_enter;2023-07-28 00:00:52
0;T4_enter;2023-07-28 00:00:59
3;T3_task3;2023-07-28 00:01:16
6;T2_enter;2023-07-28 00:01:39
7;T7_task7;2023-07-28 00:01:41
0;T4_task4;2023-07-28 00:01:48
6;T2_task2;2023-07-28 00:02:28
2;T6_enter;2023-07-28 00:03:15
5;T8_enter;2023-07-28 00:03:26
2;T6_task6;2023-07-28 00:04:04
5;T8_task8;2023-07-28 00:04:15
4;T5_enter;2023-07-28 00:04:27
4;T5_task5;2023-07-28 00:05:16
1;T1_enter;2023-07-28 00:07:18
1;T1_task1;2023-07-28 00:08:07
4;T1-T8_task9;2023-07-28 00:08:19
