case_id;activity;time
mision1;TA_enter;2023-01-01 00:03:42
mision1;TA_task1;2023-01-01 00:04:31
mision1;TB_enter;2023-01-01 00:09:44
mision1;TB_task2;2023-01-01 00:10:33
mision1;TC_enter;2023-01-01 00:13:43
mision1;TC_task3;2023-01-01 00:14:32
mision1;TD_enter;2023-01-01 00:15:15
mision1;TD_task4;2023-01-01 00:16:04
mision1;TE_enter;2023-01-01 00:34:46
mision1;TE_task5;2023-01-01 00:35:35
mision1;TF_enter;2023-01-01 00:37:58
mision1;TF_task6;2023-01-01 00:38:47
mision1;TG_enter;2023-01-01 00:39:25
mision1;TG_task7;2023-01-01 00:40:14
mision1;TH_enter;2023-01-01 00:43:58
mision1;TH_task8;2023-01-01 00:44:47
mision1;T1-TH_task9;2023-01-01 00:45:04
mision2;TA_enter;2023-01-02 00:05:03
mision2;TA_task1;2023-01-02 00:05:52
mision2;TB_enter;2023-01-02 00:06:25
mision2;TB_task2;2023-01-02 00:07:14
mision2;TC_enter;2023-01-02 00:08:45
mision2;TC_task3;2023-01-02 00:09:34
mision2;TD_enter;2023-01-02 00:38:05
mision2;TD_task4;2023-01-02 00:38:54
mision2;TE_enter;2023-01-02 00:50:33
mision2;TE_task5;2023-01-02 00:51:22
mision2;TF_enter;2023-01-02 00:52:49
mision2;TF_task6;2023-01-02 00:53:38
mision2;TG_enter;2023-01-02 00:57:29
mision2;TG_task7;2023-01-02 00:58:18
mision2;TH_enter;2023-01-02 01:05:07
mision2;TH_task8;2023-01-02 01:05:56
mision2;T1-TH_task9;2023-01-02 01:06:12
mision3;TA_enter;2023-01-03 00:04:33
mision3;TA_task1;2023-01-03 00:05:22
mision3;TB_enter;2023-01-03 00:10:27
mision3;TB_task2;2023-01-03 00:11:16
mision3;TC_enter;2023-01-03 00:17:38
mision3;TC_task3;2023-01-03 00:18:27
mision3;TD_enter;2023-01-03 00:19:15
mision3;TD_task4;2023-01-03 00:20:04
mision3;TE_enter;2023-01-03 00:22:47
mision3;TE_task5;2023-01-03 00:23:36
mision3;TF_enter;2023-01-03 00:24:27
mision3;TF_task6;2023-01-03 00:25:16
mision3;TG_enter;2023-01-03 00:25:58
mision3;TG_task7;2023-01-03 00:26:47
mision3;TH_enter;2023-01-03 00:27:51
mision3;TH_task8;2023-01-03 00:28:40
mision3;T1-TH_task9;2023-01-03 00:28:56
mision4;TA_enter;2023-01-04 00:03:32
mision4;TA_task1;2023-01-04 00:04:21
mision4;TB_enter;2023-01-04 00:06:41
mision4;TB_task2;2023-01-04 00:07:30
mision4;TC_enter;2023-01-04 00:09:15
mision4;TC_task3;2023-01-04 00:10:04
mision4;TD_enter;2023-01-04 00:18:08
mision4;TD_task4;2023-01-04 00:18:57
mision4;TE_enter;2023-01-04 00:22:40
mision4;TE_task5;2023-01-04 00:23:29
mision4;TF_enter;2023-01-04 00:32:01
mision4;TF_task6;2023-01-04 00:32:50
mision4;TG_enter;2023-01-04 00:33:53
mision4;TG_task7;2023-01-04 00:34:42
mision4;TH_enter;2023-01-04 00:36:35
mision4;TH_task8;2023-01-04 00:37:24
mision4;T1-TH_task9;2023-01-04 00:37:41
mision5;TA_enter;2023-01-05 00:03:15
mision5;TA_task1;2023-01-05 00:04:04
mision5;TB_enter;2023-01-05 00:04:40
mision5;TB_task2;2023-01-05 00:05:29
mision5;TC_enter;2023-01-05 00:11:28
mision5;TC_task3;2023-01-05 00:12:17
mision5;TD_enter;2023-01-05 00:20:41
mision5;TD_task4;2023-01-05 00:21:30
mision5;TE_enter;2023-01-05 00:26:11
mision5;TE_task5;2023-01-05 00:27:00
mision5;TF_enter;2023-01-05 00:32:39
mision5;TF_task6;2023-01-05 00:33:28
mision5;TG_enter;2023-01-05 00:35:56
mision5;TG_task7;2023-01-05 00:36:45
mision5;TH_enter;2023-01-05 00:38:55
mision5;TH_task8;2023-01-05 00:39:44
mision5;T1-TH_task9;2023-01-05 00:40:00
mision6;TA_enter;2023-01-06 00:03:20
mision6;TA_task1;2023-01-06 00:04:09
mision6;TB_enter;2023-01-06 00:05:36
mision6;TB_task2;2023-01-06 00:06:25
mision6;TC_enter;2023-01-06 00:09:46
mision6;TC_task3;2023-01-06 00:10:35
mision6;TD_enter;2023-01-06 00:11:14
mision6;TD_task4;2023-01-06 00:12:03
mision6;TE_enter;2023-01-06 00:20:39
mision6;TE_task5;2023-01-06 00:21:28
mision6;TF_enter;2023-01-06 00:24:01
mision6;TF_task6;2023-01-06 00:24:50
mision6;TG_enter;2023-01-06 00:33:56
mision6;TG_task7;2023-01-06 00:34:45
mision6;TH_enter;2023-01-06 00:35:28
mision6;TH_task8;2023-01-06 00:36:17
mision6;T1-TH_task9;2023-01-06 00:36:33
mision7;TA_enter;2023-01-07 00:03:03
mision7;TA_task1;2023-01-07 00:03:52
mision7;TB_enter;2023-01-07 00:06:31
mision7;TB_task2;2023-01-07 00:07:20
mision7;TC_enter;2023-01-07 00:08:34
mision7;TC_task3;2023-01-07 00:09:23
mision7;TD_enter;2023-01-07 00:16:23
mision7;TD_task4;2023-01-07 00:17:12
mision7;TE_enter;2023-01-07 00:20:45
mision7;TE_task5;2023-01-07 00:21:34
mision7;TF_enter;2023-01-07 00:23:43
mision7;TF_task6;2023-01-07 00:24:32
mision7;TG_enter;2023-01-07 00:29:22
mision7;TG_task7;2023-01-07 00:30:11
mision7;TH_enter;2023-01-07 00:34:57
mision7;TH_task8;2023-01-07 00:35:46
mision7;T1-TH_task9;2023-01-07 00:36:02
mision8;TA_enter;2023-01-08 00:04:01
mision8;TA_task1;2023-01-08 00:04:50
mision8;TB_enter;2023-01-08 00:07:45
mision8;TB_task2;2023-01-08 00:08:34
mision8;TC_enter;2023-01-08 00:10:34
mision8;TC_task3;2023-01-08 00:11:23
mision8;TD_enter;2023-01-08 00:11:45
mision8;TD_task4;2023-01-08 00:12:34
mision8;TE_enter;2023-01-08 00:16:10
mision8;TE_task5;2023-01-08 00:16:59
mision8;TF_enter;2023-01-08 00:18:45
mision8;TF_task6;2023-01-08 00:19:34
mision8;TG_enter;2023-01-08 00:32:44
mision8;TG_task7;2023-01-08 00:33:33
mision8;TH_enter;2023-01-08 00:35:01
mision8;TH_task8;2023-01-08 00:35:50
mision8;T1-TH_task9;2023-01-08 00:36:06
mision9;TA_enter;2023-01-09 00:03:47
mision9;TA_task1;2023-01-09 00:04:36
mision9;TB_enter;2023-01-09 00:08:25
mision9;TB_task2;2023-01-09 00:09:14
mision9;TC_enter;2023-01-09 00:13:40
mision9;TC_task3;2023-01-09 00:14:29
mision9;TD_enter;2023-01-09 00:17:28
mision9;TD_task4;2023-01-09 00:18:17
mision9;TE_enter;2023-01-09 00:22:58
mision9;TE_task5;2023-01-09 00:23:47
mision9;TF_enter;2023-01-09 00:26:34
mision9;TF_task6;2023-01-09 00:27:23
mision9;TG_enter;2023-01-09 00:33:01
mision9;TG_task7;2023-01-09 00:33:50
mision9;TH_enter;2023-01-09 00:34:42
mision9;TH_task8;2023-01-09 00:35:31
mision9;T1-TH_task9;2023-01-09 00:35:48
mision10;TA_enter;2023-01-10 00:02:52
mision10;TA_task1;2023-01-10 00:03:41
mision10;TB_enter;2023-01-10 00:04:19
mision10;TB_task2;2023-01-10 00:05:08
mision10;TC_enter;2023-01-10 00:05:50
mision10;TC_task3;2023-01-10 00:06:39
mision10;TD_enter;2023-01-10 00:07:18
mision10;TD_task4;2023-01-10 00:08:07
mision10;TE_enter;2023-01-10 00:14:28
mision10;TE_task5;2023-01-10 00:15:17
mision10;TF_enter;2023-01-10 00:16:39
mision10;TF_task6;2023-01-10 00:17:28
mision10;TG_enter;2023-01-10 00:18:30
mision10;TG_task7;2023-01-10 00:19:19
mision10;TH_enter;2023-01-10 00:22:47
mision10;TH_task8;2023-01-10 00:23:36
mision10;T1-TH_task9;2023-01-10 00:23:52
mision11;TA_enter;2023-01-11 00:04:08
mision11;TA_task1;2023-01-11 00:04:57
mision11;TB_enter;2023-01-11 00:06:05
mision11;TB_task2;2023-01-11 00:06:54
mision11;TC_enter;2023-01-11 00:08:16
mision11;TC_task3;2023-01-11 00:09:05
mision11;TD_enter;2023-01-11 00:12:55
mision11;TD_task4;2023-01-11 00:13:44
mision11;TE_enter;2023-01-11 00:18:37
mision11;TE_task5;2023-01-11 00:19:26
mision11;TF_enter;2023-01-11 00:20:18
mision11;TF_task6;2023-01-11 00:21:07
mision11;TG_enter;2023-01-11 00:37:26
mision11;TG_task7;2023-01-11 00:38:15
mision11;TH_enter;2023-01-11 00:42:18
mision11;TH_task8;2023-01-11 00:43:07
mision11;T1-TH_task9;2023-01-11 00:43:24
mision12;TA_enter;2023-01-12 00:09:57
mision12;TA_task1;2023-01-12 00:10:46
mision12;TB_enter;2023-01-12 00:14:23
mision12;TB_task2;2023-01-12 00:15:12
mision12;TC_enter;2023-01-12 00:18:43
mision12;TC_task3;2023-01-12 00:19:32
mision12;TD_enter;2023-01-12 00:22:04
mision12;TD_task4;2023-01-12 00:22:53
mision12;TE_enter;2023-01-12 00:28:01
mision12;TE_task5;2023-01-12 00:28:50
mision12;TF_enter;2023-01-12 00:35:38
mision12;TF_task6;2023-01-12 00:36:27
mision12;TG_enter;2023-01-12 00:39:58
mision12;TG_task7;2023-01-12 00:40:47
mision12;TH_enter;2023-01-12 00:44:03
mision12;TH_task8;2023-01-12 00:44:52
mision12;T1-TH_task9;2023-01-12 00:45:08
mision13;TA_enter;2023-01-13 00:06:04
mision13;TA_task1;2023-01-13 00:06:53
mision13;TB_enter;2023-01-13 00:12:29
mision13;TB_task2;2023-01-13 00:13:18
mision13;TC_enter;2023-01-13 00:16:11
mision13;TC_task3;2023-01-13 00:17:00
mision13;TD_enter;2023-01-13 00:17:20
mision13;TD_task4;2023-01-13 00:18:09
