case_id;activity;time
mision87;TA_enter;2023-03-30 00:02:57
mision87;TA_task1;2023-03-30 00:03:46
mision87;TB_enter;2023-03-30 00:05:27
mision87;TB_task2;2023-03-30 00:06:16
mision87;TC_enter;2023-03-30 00:10:12
mision87;TC_task3;2023-03-30 00:11:01
mision87;TD_enter;2023-03-30 00:14:18
mision87;TD_task4;2023-03-30 00:15:07
mision87;TE_enter;2023-03-30 00:17:16
mision87;TE_task5;2023-03-30 00:18:05
mision87;TF_enter;2023-03-30 00:19:26
mision87;TF_task6;2023-03-30 00:20:15
mision87;TG_enter;2023-03-30 00:32:24
mision87;TG_task7;2023-03-30 00:33:13
mision87;TH_enter;2023-03-30 00:36:19
mision87;TH_task8;2023-03-30 00:37:08
mision87;T1-TH_task9;2023-03-30 00:37:25
