case_id;activity;time
1;T1_enter;2023-07-28 00:03:55
1;T1_task1;2023-07-28 00:04:44
5;T2_enter;2023-07-28 00:10:22
5;T2_task2;2023-07-28 00:11:11
3;T3_enter;2023-07-28 00:19:28
3;T3_task3;2023-07-28 00:20:17
2;T4_enter;2023-07-28 00:26:02
2;T4_task4;2023-07-28 00:26:51
3;T5_enter;2023-07-28 00:42:00
3;T5_task5;2023-07-28 00:42:49
2;T6_enter;2023-07-28 00:47:04
2;T6_task6;2023-07-28 00:47:53
4;T7_enter;2023-07-28 00:48:20
4;T7_task7;2023-07-28 00:49:09
5;T8_enter;2023-07-28 00:51:32
5;T8_task8;2023-07-28 00:52:21
2;T1-T8_task9;2023-07-28 00:52:38
