case_id;activity;time
mision1;TA_enter;2023-01-01 00:03:13
mision1;TA_task1;2023-01-01 00:04:02
mision1;TB_enter;2023-01-01 00:04:28
mision1;TB_task2;2023-01-01 00:05:17
mision1;TA_task3;2023-01-01 00:05:34
mision1;TB_task3;2023-01-01 00:05:34
mision1;TC_enter;2023-01-01 00:06:22
mision1;TC_task1;2023-01-01 00:07:11
mision1;TD_enter;2023-01-01 00:08:00
mision1;TD_task2;2023-01-01 00:08:49
mision1;TC_task3;2023-01-01 00:09:06
mision1;TD_task3;2023-01-01 00:09:06
mision1;TE_enter;2023-01-01 00:11:22
mision1;TF_enter;2023-01-01 00:11:30
mision1;TE_task1;2023-01-01 00:12:11
mision1;TF_task2;2023-01-01 00:12:19
mision1;TE_task3;2023-01-01 00:12:36
mision1;TF_task3;2023-01-01 00:12:36
mision1;TH_enter;2023-01-01 00:14:07
mision1;TH_task2;2023-01-01 00:14:56
mision1;TG_enter;2023-01-01 00:15:51
mision1;TG_task1;2023-01-01 00:16:40
mision1;TG_task3;2023-01-01 00:16:56
mision1;TH_task3;2023-01-01 00:16:56
mision1;TG_task4;2023-01-01 00:16:58
mision1;TH_task4;2023-01-01 00:16:58
mision2;TB_enter;2023-01-02 00:02:43
mision2;TA_enter;2023-01-02 00:03:21
mision2;TB_task2;2023-01-02 00:03:32
mision2;TA_task1;2023-01-02 00:04:10
mision2;TA_task3;2023-01-02 00:04:26
mision2;TB_task3;2023-01-02 00:04:26
mision2;TD_enter;2023-01-02 00:06:18
mision2;TD_task2;2023-01-02 00:07:07
mision2;TC_enter;2023-01-02 00:07:41
mision2;TC_task1;2023-01-02 00:08:30
mision2;TC_task3;2023-01-02 00:08:47
mision2;TD_task3;2023-01-02 00:08:47
mision2;TF_enter;2023-01-02 00:12:25
mision2;TF_task2;2023-01-02 00:13:14
mision2;TE_enter;2023-01-02 00:14:11
mision2;TE_task1;2023-01-02 00:15:00
mision2;TE_task3;2023-01-02 00:15:16
mision2;TF_task3;2023-01-02 00:15:16
mision2;TG_enter;2023-01-02 00:18:30
mision2;TH_enter;2023-01-02 00:19:01
mision2;TG_task1;2023-01-02 00:19:19
mision2;TH_task2;2023-01-02 00:19:50
mision2;TG_task3;2023-01-02 00:20:07
mision2;TH_task3;2023-01-02 00:20:07
mision2;TG_task4;2023-01-02 00:20:08
mision2;TH_task4;2023-01-02 00:20:08
mision3;TA_enter;2023-01-03 00:03:30
mision3;TA_task1;2023-01-03 00:04:19
mision3;TB_enter;2023-01-03 00:04:19
mision3;TB_task2;2023-01-03 00:05:08
mision3;TA_task3;2023-01-03 00:05:25
mision3;TB_task3;2023-01-03 00:05:25
mision3;TD_enter;2023-01-03 00:07:02
mision3;TD_task2;2023-01-03 00:07:51
mision3;TC_enter;2023-01-03 00:17:11
mision3;TC_task1;2023-01-03 00:18:00
mision3;TC_task3;2023-01-03 00:18:17
mision3;TD_task3;2023-01-03 00:18:17
mision3;TE_enter;2023-01-03 00:21:36
mision3;TE_task1;2023-01-03 00:22:25
mision3;TF_enter;2023-01-03 00:26:53
mision3;TF_task2;2023-01-03 00:27:42
mision3;TE_task3;2023-01-03 00:27:59
mision3;TF_task3;2023-01-03 00:27:59
mision3;TG_enter;2023-01-03 00:30:31
mision3;TG_task1;2023-01-03 00:31:20
mision3;TH_enter;2023-01-03 00:32:16
mision3;TH_task2;2023-01-03 00:33:05
mision3;TG_task3;2023-01-03 00:33:21
mision3;TH_task3;2023-01-03 00:33:21
mision3;TG_task4;2023-01-03 00:33:23
mision3;TH_task4;2023-01-03 00:33:23
mision4;TA_enter;2023-01-04 00:03:21
mision4;TB_enter;2023-01-04 00:03:26
mision4;TA_task1;2023-01-04 00:04:10
mision4;TB_task2;2023-01-04 00:04:15
mision4;TA_task3;2023-01-04 00:04:32
mision4;TB_task3;2023-01-04 00:04:32
mision4;TD_enter;2023-01-04 00:07:23
mision4;TC_enter;2023-01-04 00:07:46
mision4;TD_task2;2023-01-04 00:08:12
mision4;TC_task1;2023-01-04 00:08:35
mision4;TC_task3;2023-01-04 00:08:51
mision4;TD_task3;2023-01-04 00:08:51
mision4;TF_enter;2023-01-04 00:10:19
mision4;TF_task2;2023-01-04 00:11:08
mision4;TE_enter;2023-01-04 00:29:07
mision4;TE_task1;2023-01-04 00:29:56
mision4;TE_task3;2023-01-04 00:30:13
mision4;TF_task3;2023-01-04 00:30:13
mision4;TG_enter;2023-01-04 00:33:11
mision4;TG_task1;2023-01-04 00:34:00
mision4;TH_enter;2023-01-04 00:34:29
mision4;TH_task2;2023-01-04 00:35:18
mision4;TG_task3;2023-01-04 00:35:35
mision4;TH_task3;2023-01-04 00:35:35
mision4;TG_task4;2023-01-04 00:35:36
mision4;TH_task4;2023-01-04 00:35:36
mision5;TA_enter;2023-01-05 00:03:15
mision5;TA_task1;2023-01-05 00:04:04
mision5;TB_enter;2023-01-05 00:04:36
mision5;TB_task2;2023-01-05 00:05:25
mision5;TA_task3;2023-01-05 00:05:41
mision5;TB_task3;2023-01-05 00:05:41
mision5;TD_enter;2023-01-05 00:07:25
mision5;TD_task2;2023-01-05 00:08:14
mision5;TC_enter;2023-01-05 00:08:56
mision5;TC_task1;2023-01-05 00:09:45
mision5;TC_task3;2023-01-05 00:10:02
mision5;TD_task3;2023-01-05 00:10:02
mision5;TF_enter;2023-01-05 00:13:13
mision5;TF_task2;2023-01-05 00:14:02
mision5;TE_enter;2023-01-05 00:17:49
mision5;TE_task1;2023-01-05 00:18:38
mision5;TE_task3;2023-01-05 00:18:55
mision5;TF_task3;2023-01-05 00:18:55
mision5;TG_enter;2023-01-05 00:20:43
mision5;TG_task1;2023-01-05 00:21:32
mision5;TH_enter;2023-01-05 00:21:37
mision5;TH_task2;2023-01-05 00:22:26
mision5;TG_task3;2023-01-05 00:22:43
mision5;TH_task3;2023-01-05 00:22:43
mision5;TG_task4;2023-01-05 00:22:44
mision5;TH_task4;2023-01-05 00:22:44
mision6;TB_enter;2023-01-06 00:01:43
mision6;TB_task2;2023-01-06 00:02:32
mision6;TA_enter;2023-01-06 00:03:07
mision6;TA_task1;2023-01-06 00:03:56
mision6;TA_task3;2023-01-06 00:04:13
mision6;TB_task3;2023-01-06 00:04:13
mision6;TC_enter;2023-01-06 00:05:03
mision6;TC_task1;2023-01-06 00:05:52
mision6;TD_enter;2023-01-06 00:14:27
mision6;TD_task2;2023-01-06 00:15:16
mision6;TC_task3;2023-01-06 00:15:32
mision6;TD_task3;2023-01-06 00:15:32
mision6;TF_enter;2023-01-06 00:17:57
mision6;TE_enter;2023-01-06 00:18:43
mision6;TF_task2;2023-01-06 00:18:46
mision6;TE_task1;2023-01-06 00:19:32
mision6;TE_task3;2023-01-06 00:19:49
mision6;TF_task3;2023-01-06 00:19:49
mision6;TG_enter;2023-01-06 00:22:23
mision6;TH_enter;2023-01-06 00:22:39
mision6;TG_task1;2023-01-06 00:23:12
mision6;TH_task2;2023-01-06 00:23:28
mision6;TG_task3;2023-01-06 00:23:44
mision6;TH_task3;2023-01-06 00:23:44
mision6;TG_task4;2023-01-06 00:23:46
mision6;TH_task4;2023-01-06 00:23:46
mision7;TB_enter;2023-01-07 00:02:11
mision7;TB_task2;2023-01-07 00:03:00
mision7;TA_enter;2023-01-07 00:03:07
mision7;TA_task1;2023-01-07 00:03:56
mision7;TA_task3;2023-01-07 00:04:13
mision7;TB_task3;2023-01-07 00:04:13
mision7;TD_enter;2023-01-07 00:07:14
mision7;TD_task2;2023-01-07 00:08:03
mision7;TC_enter;2023-01-07 00:09:58
mision7;TC_task1;2023-01-07 00:10:47
mision7;TC_task3;2023-01-07 00:11:04
mision7;TD_task3;2023-01-07 00:11:04
mision7;TE_enter;2023-01-07 00:13:32
mision7;TE_task1;2023-01-07 00:14:21
mision7;TF_enter;2023-01-07 00:15:28
mision7;TF_task2;2023-01-07 00:16:17
mision7;TE_task3;2023-01-07 00:16:34
mision7;TF_task3;2023-01-07 00:16:34
mision7;TG_enter;2023-01-07 00:19:33
mision7;TG_task1;2023-01-07 00:20:22
mision7;TH_enter;2023-01-07 00:21:49
mision7;TH_task2;2023-01-07 00:22:38
mision7;TG_task3;2023-01-07 00:22:55
mision7;TH_task3;2023-01-07 00:22:55
mision7;TG_task4;2023-01-07 00:22:56
mision7;TH_task4;2023-01-07 00:22:56
mision8;TB_enter;2023-01-08 00:03:18
mision8;TB_task2;2023-01-08 00:04:07
mision8;TA_enter;2023-01-08 00:05:01
mision8;TA_task1;2023-01-08 00:05:50
mision8;TA_task3;2023-01-08 00:06:06
mision8;TB_task3;2023-01-08 00:06:06
mision8;TC_enter;2023-01-08 00:07:31
mision8;TC_task1;2023-01-08 00:08:20
mision8;TD_enter;2023-01-08 00:19:38
mision8;TD_task2;2023-01-08 00:20:27
mision8;TC_task3;2023-01-08 00:20:43
mision8;TD_task3;2023-01-08 00:20:43
mision8;TF_enter;2023-01-08 00:22:26
mision8;TF_task2;2023-01-08 00:23:15
mision8;TE_enter;2023-01-08 00:24:17
mision8;TE_task1;2023-01-08 00:25:06
mision8;TE_task3;2023-01-08 00:25:22
mision8;TF_task3;2023-01-08 00:25:22
mision8;TG_enter;2023-01-08 00:28:10
mision8;TG_task1;2023-01-08 00:28:59
mision8;TH_enter;2023-01-08 00:29:03
mision8;TH_task2;2023-01-08 00:29:52
mision8;TG_task3;2023-01-08 00:30:08
mision8;TH_task3;2023-01-08 00:30:08
mision8;TG_task4;2023-01-08 00:30:10
mision8;TH_task4;2023-01-08 00:30:10
mision9;TB_enter;2023-01-09 00:01:39
mision9;TB_task2;2023-01-09 00:02:28
mision9;TA_enter;2023-01-09 00:03:57
mision9;TA_task1;2023-01-09 00:04:46
mision9;TA_task3;2023-01-09 00:05:02
mision9;TB_task3;2023-01-09 00:05:02
mision9;TD_enter;2023-01-09 00:07:29
mision9;TD_task2;2023-01-09 00:08:18
mision9;TC_enter;2023-01-09 00:08:49
mision9;TC_task1;2023-01-09 00:09:38
mision9;TC_task3;2023-01-09 00:09:54
mision9;TD_task3;2023-01-09 00:09:54
mision9;TE_enter;2023-01-09 00:13:17
mision9;TF_enter;2023-01-09 00:13:26
mision9;TE_task1;2023-01-09 00:14:06
mision9;TF_task2;2023-01-09 00:14:15
mision9;TE_task3;2023-01-09 00:14:31
mision9;TF_task3;2023-01-09 00:14:31
mision9;TG_enter;2023-01-09 00:17:02
mision9;TG_task1;2023-01-09 00:17:51
mision9;TH_enter;2023-01-09 00:18:04
mision9;TH_task2;2023-01-09 00:18:53
mision9;TG_task3;2023-01-09 00:19:09
mision9;TH_task3;2023-01-09 00:19:09
mision9;TG_task4;2023-01-09 00:19:11
mision9;TH_task4;2023-01-09 00:19:11
mision10;TB_enter;2023-01-10 00:04:04
mision10;TB_task2;2023-01-10 00:04:53
mision10;TA_enter;2023-01-10 00:05:44
mision10;TA_task1;2023-01-10 00:06:33
mision10;TA_task3;2023-01-10 00:06:49
mision10;TB_task3;2023-01-10 00:06:49
mision10;TC_enter;2023-01-10 00:10:29
mision10;TC_task1;2023-01-10 00:11:18
mision10;TD_enter;2023-01-10 00:31:58
mision10;TD_task2;2023-01-10 00:32:47
mision10;TC_task3;2023-01-10 00:33:03
mision10;TD_task3;2023-01-10 00:33:03
mision10;TF_enter;2023-01-10 00:34:16
mision10;TF_task2;2023-01-10 00:35:05
mision10;TE_enter;2023-01-10 00:37:34
mision10;TE_task1;2023-01-10 00:38:23
mision10;TE_task3;2023-01-10 00:38:40
mision10;TF_task3;2023-01-10 00:38:40
mision10;TG_enter;2023-01-10 00:41:24
mision10;TG_task1;2023-01-10 00:42:13
mision10;TH_enter;2023-01-10 00:49:57
mision10;TH_task2;2023-01-10 00:50:46
mision10;TG_task3;2023-01-10 00:51:02
mision10;TH_task3;2023-01-10 00:51:02
mision10;TG_task4;2023-01-10 00:51:04
mision10;TH_task4;2023-01-10 00:51:04
mision11;TB_enter;2023-01-11 00:01:01
mision11;TB_task2;2023-01-11 00:01:50
mision11;TA_enter;2023-01-11 00:04:22
mision11;TA_task1;2023-01-11 00:05:11
mision11;TA_task3;2023-01-11 00:05:28
mision11;TB_task3;2023-01-11 00:05:28
mision11;TC_enter;2023-01-11 00:10:30
mision11;TC_task1;2023-01-11 00:11:19
mision11;TD_enter;2023-01-11 00:24:17
mision11;TD_task2;2023-01-11 00:25:06
mision11;TC_task3;2023-01-11 00:25:23
mision11;TD_task3;2023-01-11 00:25:23
mision11;TF_enter;2023-01-11 00:26:48
mision11;TF_task2;2023-01-11 00:27:37
mision11;TE_enter;2023-01-11 00:27:56
mision11;TE_task1;2023-01-11 00:28:45
mision11;TE_task3;2023-01-11 00:29:01
mision11;TF_task3;2023-01-11 00:29:01
mision11;TG_enter;2023-01-11 00:31:33
mision11;TH_enter;2023-01-11 00:31:37
mision11;TG_task1;2023-01-11 00:32:22
mision11;TH_task2;2023-01-11 00:32:26
mision11;TG_task3;2023-01-11 00:32:43
mision11;TH_task3;2023-01-11 00:32:43
mision11;TG_task4;2023-01-11 00:32:44
mision11;TH_task4;2023-01-11 00:32:44
mision12;TB_enter;2023-01-12 00:00:54
mision12;TB_task2;2023-01-12 00:01:43
mision12;TA_enter;2023-01-12 00:03:50
mision12;TA_task1;2023-01-12 00:04:39
mision12;TA_task3;2023-01-12 00:04:56
mision12;TB_task3;2023-01-12 00:04:56
mision12;TC_enter;2023-01-12 00:07:05
mision12;TC_task1;2023-01-12 00:07:54
mision12;TD_enter;2023-01-12 00:08:08
mision12;TD_task2;2023-01-12 00:08:57
mision12;TC_task3;2023-01-12 00:09:13
mision12;TD_task3;2023-01-12 00:09:13
mision12;TF_enter;2023-01-12 00:12:01
mision12;TF_task2;2023-01-12 00:12:50
mision12;TE_enter;2023-01-12 00:13:00
mision12;TE_task1;2023-01-12 00:13:49
mision12;TE_task3;2023-01-12 00:14:05
mision12;TF_task3;2023-01-12 00:14:05
mision12;TG_enter;2023-01-12 00:16:39
mision12;TH_enter;2023-01-12 00:16:42
mision12;TG_task1;2023-01-12 00:17:28
mision12;TH_task2;2023-01-12 00:17:31
mision12;TG_task3;2023-01-12 00:17:47
mision12;TH_task3;2023-01-12 00:17:47
mision12;TG_task4;2023-01-12 00:17:49
mision12;TH_task4;2023-01-12 00:17:49
mision13;TB_enter;2023-01-13 00:02:07
mision13;TB_task2;2023-01-13 00:02:56
mision13;TA_enter;2023-01-13 00:05:40
mision13;TA_task1;2023-01-13 00:06:29
mision13;TA_task3;2023-01-13 00:06:46
mision13;TB_task3;2023-01-13 00:06:46
mision13;TD_enter;2023-01-13 00:09:49
mision13;TD_task2;2023-01-13 00:10:38
mision13;TC_enter;2023-01-13 00:12:33
mision13;TC_task1;2023-01-13 00:13:22
mision13;TC_task3;2023-01-13 00:13:39
mision13;TD_task3;2023-01-13 00:13:39
mision13;TE_enter;2023-01-13 00:14:37
mision13;TE_task1;2023-01-13 00:15:26
mision13;TF_enter;2023-01-13 00:16:35
mision13;TF_task2;2023-01-13 00:17:24
mision13;TE_task3;2023-01-13 00:17:40
mision13;TF_task3;2023-01-13 00:17:40
mision13;TH_enter;2023-01-13 00:19:58
mision13;TH_task2;2023-01-13 00:20:47
mision13;TG_enter;2023-01-13 00:20:48
mision13;TG_task1;2023-01-13 00:21:37
mision13;TG_task3;2023-01-13 00:21:54
mision13;TH_task3;2023-01-13 00:21:54
mision13;TG_task4;2023-01-13 00:21:55
mision13;TH_task4;2023-01-13 00:21:55
mision14;TB_enter;2023-01-14 00:03:01
mision14;TB_task2;2023-01-14 00:03:50
mision14;TA_enter;2023-01-14 00:06:19
mision14;TA_task1;2023-01-14 00:07:08
mision14;TA_task3;2023-01-14 00:07:24
mision14;TB_task3;2023-01-14 00:07:24
mision14;TC_enter;2023-01-14 00:09:58
mision14;TC_task1;2023-01-14 00:10:47
mision14;TD_enter;2023-01-14 00:10:58
mision14;TD_task2;2023-01-14 00:11:47
mision14;TC_task3;2023-01-14 00:12:03
mision14;TD_task3;2023-01-14 00:12:03
mision14;TF_enter;2023-01-14 00:14:41
mision14;TF_task2;2023-01-14 00:15:30
mision14;TE_enter;2023-01-14 00:17:33
mision14;TE_task1;2023-01-14 00:18:22
mision14;TE_task3;2023-01-14 00:18:39
mision14;TF_task3;2023-01-14 00:18:39
mision14;TH_enter;2023-01-14 00:20:28
mision14;TG_enter;2023-01-14 00:20:30
mision14;TH_task2;2023-01-14 00:21:17
mision14;TG_task1;2023-01-14 00:21:19
mision14;TG_task3;2023-01-14 00:21:36
mision14;TH_task3;2023-01-14 00:21:36
mision14;TG_task4;2023-01-14 00:21:37
mision14;TH_task4;2023-01-14 00:21:37
mision15;TB_enter;2023-01-15 00:03:15
mision15;TB_task2;2023-01-15 00:04:04
mision15;TA_enter;2023-01-15 00:04:14
mision15;TA_task1;2023-01-15 00:05:03
mision15;TA_task3;2023-01-15 00:05:20
mision15;TB_task3;2023-01-15 00:05:20
mision15;TC_enter;2023-01-15 00:06:30
mision15;TC_task1;2023-01-15 00:07:19
mision15;TD_enter;2023-01-15 00:12:42
mision15;TD_task2;2023-01-15 00:13:31
mision15;TC_task3;2023-01-15 00:13:48
mision15;TD_task3;2023-01-15 00:13:48
mision15;TF_enter;2023-01-15 00:17:13
mision15;TF_task2;2023-01-15 00:18:02
mision15;TE_enter;2023-01-15 00:20:34
mision15;TE_task1;2023-01-15 00:21:23
mision15;TE_task3;2023-01-15 00:21:40
mision15;TF_task3;2023-01-15 00:21:40
mision15;TG_enter;2023-01-15 00:24:19
mision15;TG_task1;2023-01-15 00:25:08
mision15;TH_enter;2023-01-15 00:32:22
mision15;TH_task2;2023-01-15 00:33:11
mision15;TG_task3;2023-01-15 00:33:28
mision15;TH_task3;2023-01-15 00:33:28
mision15;TG_task4;2023-01-15 00:33:29
mision15;TH_task4;2023-01-15 00:33:29
mision16;TB_enter;2023-01-16 00:02:21
mision16;TB_task2;2023-01-16 00:03:10
mision16;TA_enter;2023-01-16 00:06:18
mision16;TA_task1;2023-01-16 00:07:07
mision16;TA_task3;2023-01-16 00:07:23
mision16;TB_task3;2023-01-16 00:07:23
mision16;TC_enter;2023-01-16 00:08:57
mision16;TC_task1;2023-01-16 00:09:46
mision16;TD_enter;2023-01-16 00:17:49
mision16;TD_task2;2023-01-16 00:18:38
mision16;TC_task3;2023-01-16 00:18:55
mision16;TD_task3;2023-01-16 00:18:55
mision16;TF_enter;2023-01-16 00:21:14
mision16;TF_task2;2023-01-16 00:22:03
mision16;TE_enter;2023-01-16 00:34:13
mision16;TE_task1;2023-01-16 00:35:02
mision16;TE_task3;2023-01-16 00:35:18
mision16;TF_task3;2023-01-16 00:35:18
mision16;TH_enter;2023-01-16 00:37:41
mision16;TG_enter;2023-01-16 00:38:04
mision16;TH_task2;2023-01-16 00:38:30
mision16;TG_task1;2023-01-16 00:38:53
mision16;TG_task3;2023-01-16 00:39:09
mision16;TH_task3;2023-01-16 00:39:09
mision16;TG_task4;2023-01-16 00:39:11
mision16;TH_task4;2023-01-16 00:39:11
mision17;TA_enter;2023-01-17 00:04:10
