case_id;activity;time
mision1;T2_enter;2023-01-01 00:02:08
mision1;T2_task2;2023-01-01 00:02:57
mision1;T1_enter;2023-01-01 00:09:48
mision1;T1_task1;2023-01-01 00:10:37
mision1;T1_task3;2023-01-01 00:10:54
mision1;T2_task3;2023-01-01 00:10:54
mision1;T3_enter;2023-01-01 00:13:14
mision1;T3_task1;2023-01-01 00:14:03
mision1;T4_enter;2023-01-01 00:14:19
mision1;T4_task2;2023-01-01 00:15:08
mision1;T3_task3;2023-01-01 00:15:25
mision1;T4_task3;2023-01-01 00:15:25
mision1;T6_enter;2023-01-01 00:18:00
mision1;T6_task2;2023-01-01 00:18:49
mision1;T5_enter;2023-01-01 00:19:16
mision1;T5_task1;2023-01-01 00:20:05
mision1;T5_task3;2023-01-01 00:20:22
mision1;T6_task3;2023-01-01 00:20:22
mision1;T7_enter;2023-01-01 00:23:04
mision1;T7_task1;2023-01-01 00:23:53
mision1;T8_enter;2023-01-01 00:23:56
mision1;T8_task2;2023-01-01 00:24:45
mision1;T7_task3;2023-01-01 00:25:01
mision1;T8_task3;2023-01-01 00:25:01
mision1;T7_task4;2023-01-01 00:25:03
mision1;T8_task4;2023-01-01 00:25:03
mision2;T2_enter;2023-01-02 00:01:43
mision2;T1_enter;2023-01-02 00:03:07
mision2;T1_task1;2023-01-02 00:03:56
mision2;T2_task2;2023-01-02 00:04:46
mision2;T1_task3;2023-01-02 00:05:03
mision2;T2_task3;2023-01-02 00:05:03
mision2;T4_enter;2023-01-02 00:06:49
mision2;T4_task2;2023-01-02 00:07:38
mision2;T3_enter;2023-01-02 00:08:13
mision2;T3_task1;2023-01-02 00:09:02
mision2;T3_task3;2023-01-02 00:09:18
mision2;T4_task3;2023-01-02 00:09:18
mision2;T6_enter;2023-01-02 00:11:57
mision2;T6_task2;2023-01-02 00:12:46
mision2;T5_enter;2023-01-02 00:19:18
mision2;T5_task1;2023-01-02 00:20:07
mision2;T5_task3;2023-01-02 00:20:24
mision2;T6_task3;2023-01-02 00:20:24
mision2;T7_enter;2023-01-02 00:22:45
mision2;T7_task1;2023-01-02 00:23:34
mision2;T8_enter;2023-01-02 00:23:50
mision2;T8_task2;2023-01-02 00:24:39
mision2;T7_task3;2023-01-02 00:24:56
mision2;T8_task3;2023-01-02 00:24:56
mision2;T7_task4;2023-01-02 00:24:57
mision2;T8_task4;2023-01-02 00:24:57
mision3;T1_enter;2023-01-03 00:02:41
mision3;T1_task1;2023-01-03 00:03:30
mision3;T2_enter;2023-01-03 00:06:05
mision3;T2_task2;2023-01-03 00:06:54
mision3;T1_task3;2023-01-03 00:07:11
mision3;T2_task3;2023-01-03 00:07:11
mision3;T3_enter;2023-01-03 00:08:41
mision3;T3_task1;2023-01-03 00:09:30
mision3;T4_enter;2023-01-03 00:12:55
mision3;T4_task2;2023-01-03 00:13:44
mision3;T3_task3;2023-01-03 00:14:00
mision3;T4_task3;2023-01-03 00:14:00
mision3;T6_enter;2023-01-03 00:16:01
mision3;T6_task2;2023-01-03 00:16:50
mision3;T5_enter;2023-01-03 00:18:12
mision3;T5_task1;2023-01-03 00:19:01
mision3;T5_task3;2023-01-03 00:19:18
mision3;T6_task3;2023-01-03 00:19:18
mision3;T7_enter;2023-01-03 00:21:56
mision3;T8_enter;2023-01-03 00:22:41
mision3;T7_task1;2023-01-03 00:22:45
mision3;T8_task2;2023-01-03 00:23:30
mision3;T7_task3;2023-01-03 00:23:46
mision3;T8_task3;2023-01-03 00:23:46
mision3;T7_task4;2023-01-03 00:23:48
mision3;T8_task4;2023-01-03 00:23:48
mision4;T1_enter;2023-01-04 00:02:58
mision4;T2_enter;2023-01-04 00:03:06
mision4;T1_task1;2023-01-04 00:03:47
mision4;T2_task2;2023-01-04 00:04:38
mision4;T1_task3;2023-01-04 00:04:55
mision4;T2_task3;2023-01-04 00:04:55
mision4;T3_enter;2023-01-04 00:08:45
mision4;T3_task1;2023-01-04 00:09:34
mision4;T4_enter;2023-01-04 00:20:06
mision4;T4_task2;2023-01-04 00:20:55
mision4;T3_task3;2023-01-04 00:21:11
mision4;T4_task3;2023-01-04 00:21:11
mision4;T6_enter;2023-01-04 00:23:53
mision4;T5_enter;2023-01-04 00:24:27
mision4;T6_task2;2023-01-04 00:24:42
mision4;T5_task1;2023-01-04 00:25:16
mision4;T5_task3;2023-01-04 00:25:32
mision4;T6_task3;2023-01-04 00:25:32
mision4;T8_enter;2023-01-04 00:28:02
mision4;T8_task2;2023-01-04 00:28:51
mision4;T7_enter;2023-01-04 00:29:10
mision4;T7_task1;2023-01-04 00:29:59
mision4;T7_task3;2023-01-04 00:30:15
mision4;T8_task3;2023-01-04 00:30:15
mision4;T7_task4;2023-01-04 00:30:17
mision4;T8_task4;2023-01-04 00:30:17
mision5;T2_enter;2023-01-05 00:02:11
mision5;T2_task2;2023-01-05 00:03:00
mision5;T1_enter;2023-01-05 00:03:07
mision5;T1_task1;2023-01-05 00:03:56
mision5;T1_task3;2023-01-05 00:04:13
mision5;T2_task3;2023-01-05 00:04:13
mision5;T4_enter;2023-01-05 00:07:14
mision5;T4_task2;2023-01-05 00:08:03
mision5;T3_enter;2023-01-05 00:09:58
mision5;T3_task1;2023-01-05 00:10:47
mision5;T3_task3;2023-01-05 00:11:04
mision5;T4_task3;2023-01-05 00:11:04
mision5;T5_enter;2023-01-05 00:13:32
mision5;T5_task1;2023-01-05 00:14:21
mision5;T6_enter;2023-01-05 00:15:28
mision5;T6_task2;2023-01-05 00:16:17
mision5;T5_task3;2023-01-05 00:16:34
mision5;T6_task3;2023-01-05 00:16:34
mision5;T7_enter;2023-01-05 00:19:33
mision5;T7_task1;2023-01-05 00:20:22
mision5;T8_enter;2023-01-05 00:21:49
mision5;T8_task2;2023-01-05 00:22:38
mision5;T7_task3;2023-01-05 00:22:55
mision5;T8_task3;2023-01-05 00:22:55
mision5;T7_task4;2023-01-05 00:22:56
mision5;T8_task4;2023-01-05 00:22:56
mision6;T2_enter;2023-01-06 00:03:18
mision6;T2_task2;2023-01-06 00:04:07
mision6;T1_enter;2023-01-06 00:05:01
mision6;T1_task1;2023-01-06 00:05:50
mision6;T1_task3;2023-01-06 00:06:06
mision6;T2_task3;2023-01-06 00:06:06
mision6;T3_enter;2023-01-06 00:07:31
mision6;T3_task1;2023-01-06 00:08:20
mision6;T4_enter;2023-01-06 00:19:38
mision6;T4_task2;2023-01-06 00:20:27
