case_id;activity;time
mision3;TA_enter;2023-01-03 00:03:15
mision3;TA_task1;2023-01-03 00:04:04
mision3;TB_enter;2023-01-03 00:04:37
mision3;TB_task2;2023-01-03 00:05:26
mision3;TA_task3;2023-01-03 00:05:43
mision3;TB_task3;2023-01-03 00:05:43
mision3;TD_enter;2023-01-03 00:07:56
mision3;TD_task2;2023-01-03 00:08:45
mision3;TC_enter;2023-01-03 00:08:55
mision3;TC_task1;2023-01-03 00:09:44
mision3;TC_task3;2023-01-03 00:10:01
mision3;TD_task3;2023-01-03 00:10:01
mision3;TF_enter;2023-01-03 00:12:36
mision3;TF_task2;2023-01-03 00:13:25
mision3;TE_enter;2023-01-03 00:16:20
mision3;TE_task1;2023-01-03 00:17:09
mision3;TE_task3;2023-01-03 00:17:25
mision3;TF_task3;2023-01-03 00:17:25
mision3;TG_enter;2023-01-03 00:18:15
mision3;TG_task1;2023-01-03 00:19:04
mision3;TH_enter;2023-01-03 00:20:09
mision3;TH_task2;2023-01-03 00:20:58
mision3;TG_task3;2023-01-03 00:21:15
mision3;TH_task3;2023-01-03 00:21:15
mision3;TG_task4;2023-01-03 00:21:16
mision3;TH_task4;2023-01-03 00:21:16
