case_id;activity;time
4;T2_enter;2023-07-28 00:02:05
1;T1_enter;2023-07-28 00:02:54
1;T1_task1;2023-07-28 00:03:43
4;T2_task2;2023-07-28 00:04:33
1;T1_task3;2023-07-28 00:04:50
4;T2_task3;2023-07-28 00:04:50
2;T3_enter;2023-07-28 00:07:47
2;T3_task1;2023-07-28 00:08:36
3;T4_enter;2023-07-28 00:08:43
3;T4_task2;2023-07-28 00:09:32
2;T3_task3;2023-07-28 00:09:49
3;T4_task3;2023-07-28 00:09:49
1;T5_enter;2023-07-28 00:12:44
1;T5_task1;2023-07-28 00:13:33
4;T6_enter;2023-07-28 00:13:46
4;T6_task2;2023-07-28 00:14:35
1;T5_task3;2023-07-28 00:14:52
4;T6_task3;2023-07-28 00:14:52
3;T7_enter;2023-07-28 00:17:45
3;T7_task1;2023-07-28 00:18:34
5;T8_enter;2023-07-28 00:19:40
5;T8_task2;2023-07-28 00:20:29
3;T7_task3;2023-07-28 00:20:46
5;T8_task3;2023-07-28 00:20:46
3;T7_task4;2023-07-28 00:20:47
5;T8_task4;2023-07-28 00:20:47
